label,policy,hour,requests,workload,seed,lambda,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,total_carbon_kg,wall_ms
CARBON_AWARE-h6-medium-s42,CARBON_AWARE,6,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,167
BLENDED-h6-medium-s42,BLENDED,6,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,170
LATENCY_GREEDY-h9-medium-s42,LATENCY_GREEDY,9,500,medium,42,0.0050,500,9.4607,17.0936,0.026694,0.027474,21.7281,0.0240,0.025557,0.360532,143
CARBON_AWARE-h9-medium-s42,CARBON_AWARE,9,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,167
BLENDED-h9-medium-s42,BLENDED,9,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,169
LATENCY_GREEDY-h12-medium-s42,LATENCY_GREEDY,12,500,medium,42,0.0050,500,9.4607,17.0936,0.026694,0.027474,21.7281,0.0240,0.025557,0.369427,139
CARBON_AWARE-h12-medium-s42,CARBON_AWARE,12,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,172
BLENDED-h12-medium-s42,BLENDED,12,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,176
LATENCY_GREEDY-h15-medium-s42,LATENCY_GREEDY,15,500,medium,42,0.0050,500,9.4607,17.0936,0.026694,0.027474,21.7281,0.0240,0.025557,0.360527,142
CARBON_AWARE-h15-medium-s42,CARBON_AWARE,15,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,168
BLENDED-h15-medium-s42,BLENDED,15,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,171
LATENCY_GREEDY-h18-medium-s42,LATENCY_GREEDY,18,500,medium,42,0.0050,500,9.4607,17.0936,0.026694,0.027474,21.7281,0.0240,0.025557,0.358536,140
CARBON_AWARE-h18-medium-s42,CARBON_AWARE,18,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,171
BLENDED-h18-medium-s42,BLENDED,18,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,176
LATENCY_GREEDY-h21-medium-s42,LATENCY_GREEDY,21,500,medium,42,0.0050,500,9.4607,17.0936,0.026694,0.027474,21.7281,0.0240,0.025557,0.345121,147
CARBON_AWARE-h21-medium-s42,CARBON_AWARE,21,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,170
BLENDED-h21-medium-s42,BLENDED,21,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,169
