label,policy,burst,startup_sec,max_pool,min_pool,initial_pool,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,cold_start_violations,active_vm_hours,idle_vm_hours,cost_usd,total_energy_kwh,wall_ms
STATIC-med-s15-seed45,STATIC,med,15.0,8,2,4,2000,medium,45,2000,89.0387,270.1345,0.034906,0.047623,136.0589,0.1280,0,0.4867,0.4867,0.9004,0.391835,312
STATIC-med-s15-seed44,STATIC,med,15.0,8,2,4,2000,medium,44,2000,95.7587,275.4733,0.035546,0.047737,146.8315,0.1280,0,0.5077,0.5077,0.9392,0.425607,323
STATIC-med-s15-seed43,STATIC,med,15.0,8,2,4,2000,medium,43,2000,95.9341,272.6148,0.035822,0.048046,145.5107,0.1280,0,0.4868,0.4868,0.9006,0.413139,326
STATIC-med-s15-seed42,STATIC,med,15.0,8,2,4,2000,medium,42,2000,96.2851,272.6841,0.035691,0.048337,146.1589,0.1280,0,0.4874,0.4874,0.9017,0.415614,329
STATIC-med-s15-seed46,STATIC,med,15.0,8,2,4,2000,medium,46,2000,91.4839,255.9982,0.035496,0.048952,136.0350,0.1280,0,0.4400,0.4400,0.8139,0.371260,299
STATIC-med-s15-seed47,STATIC,med,15.0,8,2,4,2000,medium,47,2000,101.3444,283.1694,0.036259,0.050445,152.6784,0.1280,0,0.5083,0.5083,0.9403,0.427783,317
STATIC-med-s15-seed49,STATIC,med,15.0,8,2,4,2000,medium,49,2000,101.1039,281.2624,0.036123,0.049688,152.7791,0.1280,0,0.5289,0.5289,0.9785,0.430627,319
STATIC-med-s15-seed48,STATIC,med,15.0,8,2,4,2000,medium,48,2000,99.6004,279.4836,0.036184,0.049843,150.5643,0.1280,0,0.5063,0.5063,0.9366,0.424699,324
STATIC-med-s15-seed50,STATIC,med,15.0,8,2,4,2000,medium,50,2000,98.4355,271.5609,0.036371,0.050293,144.4474,0.1280,0,0.4627,0.4627,0.8559,0.383432,301
STATIC-med-s15-seed52,STATIC,med,15.0,8,2,4,2000,medium,52,2000,96.7266,276.9614,0.035603,0.048983,146.3079,0.1280,0,0.5070,0.5070,0.9379,0.413178,323
STATIC-med-s15-seed51,STATIC,med,15.0,8,2,4,2000,medium,51,2000,90.8967,274.0592,0.035319,0.048775,139.2880,0.1280,0,0.4884,0.4884,0.9035,0.403261,324
STATIC-med-s15-seed53,STATIC,med,15.0,8,2,4,2000,medium,53,2000,89.0761,252.0951,0.035665,0.047802,133.1315,0.1280,0,0.3991,0.3991,0.7383,0.367129,327
STATIC-med-s15-seed56,STATIC,med,15.0,8,2,4,2000,medium,56,2000,95.3431,273.6946,0.035859,0.048794,145.5883,0.1280,0,0.5283,0.5283,0.9773,0.418710,300
STATIC-med-s15-seed55,STATIC,med,15.0,8,2,4,2000,medium,55,2000,106.4632,320.6588,0.036806,0.050919,160.9213,0.1280,0,0.5513,0.5513,1.0199,0.453818,303
