label,mode,prefill_gpus,decode_gpus,requests,workload,kv_bw_gbs,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,total_carbon_kg,wall_ms
sw-medium-5p3d-kv400-s42,splitwise,5,3,500,medium,400.0,42,500,1.3043,3.1247,0.023156,0.026128,463.0979,0.1780,0.915971,0.400279,359
sw-medium-5p3d-kv400-s44,splitwise,5,3,500,medium,400.0,44,500,1.1921,3.0707,0.023197,0.024018,237.2326,0.1880,0.468188,0.204598,350
sw-medium-5p3d-kv400-s45,splitwise,5,3,500,medium,400.0,45,500,1.4573,5.4107,0.024155,0.026949,242.7803,0.2180,0.478666,0.209177,258
sw-medium-6p2d-kv400-s42,splitwise,6,2,500,medium,400.0,42,500,1.0263,3.4740,0.025292,0.028287,291.0242,0.2580,0.575213,0.251368,269
sw-medium-6p2d-kv400-s43,splitwise,6,2,500,medium,400.0,43,500,1.1397,2.9099,0.024408,0.026563,295.2136,0.2260,0.583298,0.254901,318
sw-medium-5p3d-kv400-s46,splitwise,5,3,500,medium,400.0,46,500,1.1126,2.7603,0.024443,0.032054,386.3621,0.2500,0.764145,0.333931,351
sw-medium-6p2d-kv400-s44,splitwise,6,2,500,medium,400.0,44,500,1.8058,9.2796,0.023577,0.025152,344.9585,0.3660,0.680646,0.297442,242
baseline-long-s42,colocated,8,0,500,long,200.0,42,500,15.0289,24.7820,0.047024,0.051973,39.0669,0.0140,0.047679,0.020836,232
sw-medium-6p2d-kv400-s45,splitwise,6,2,500,medium,400.0,45,500,1.6359,6.9572,0.024348,0.027491,356.2261,0.2320,0.703332,0.307356,263
sw-medium-6p2d-kv400-s46,splitwise,6,2,500,medium,400.0,46,500,0.9176,3.2916,0.026097,0.029533,276.2079,0.1940,0.546040,0.238620,270
baseline-long-s43,colocated,8,0,500,long,200.0,43,500,16.3236,25.7549,0.046624,0.052194,38.7001,0.0060,0.044384,0.019396,189
baseline-long-s44,colocated,8,0,500,long,200.0,44,500,15.6387,26.6775,0.047241,0.052397,38.9386,0.0060,0.046215,0.020196,195
baseline-long-s45,colocated,8,0,500,long,200.0,45,500,12.8927,23.2983,0.045725,0.051972,36.2217,0.0140,0.046273,0.020221,212
baseline-long-s46,colocated,8,0,500,long,200.0,46,500,14.6487,24.7174,0.046373,0.051947,37.9707,0.0120,0.046260,0.020215,206
sw-long-1p7d-kv100-s42,splitwise,1,7,500,long,100.0,42,500,125.3541,223.4393,0.039821,0.053757,61.3527,0.0020,0.049751,0.021741,243
sw-long-1p7d-kv100-s43,splitwise,1,7,500,long,100.0,43,500,125.6700,222.0187,0.044252,0.055051,29.9476,0.0020,0.008603,0.003759,236
sw-long-1p7d-kv100-s44,splitwise,1,7,500,long,100.0,44,500,128.6106,224.7516,0.043217,0.056712,49.6262,0.0020,0.039969,0.017467,261
sw-long-1p7d-kv100-s45,splitwise,1,7,500,long,100.0,45,500,118.2774,211.1929,0.039508,0.050414,29.7865,0.0020,0.009834,0.004297,276
sw-long-1p7d-kv100-s46,splitwise,1,7,500,long,100.0,46,500,123.1675,218.1979,0.043416,0.055005,32.6624,0.0020,0.013758,0.006012,236
sw-long-2p6d-kv100-s43,splitwise,2,6,500,long,100.0,43,500,66.9191,108.3066,0.042517,0.058517,59.4009,0.0020,0.061554,0.026899,329
sw-long-2p6d-kv100-s42,splitwise,2,6,500,long,100.0,42,500,66.9768,110.1675,0.042559,0.058144,70.5756,0.0040,0.079197,0.034609,384
sw-long-2p6d-kv100-s44,splitwise,2,6,500,long,100.0,44,500,68.5204,109.5812,0.043648,0.057801,65.4752,0.0040,0.072695,0.031768,314
sw-long-2p6d-kv100-s45,splitwise,2,6,500,long,100.0,45,500,62.5082,104.4149,0.039172,0.054595,54.8952,0.0040,0.056329,0.024616,297
sw-long-2p6d-kv100-s46,splitwise,2,6,500,long,100.0,46,500,65.4983,106.8127,0.040714,0.058171,64.0344,0.0020,0.070071,0.030621,342
sw-long-3p5d-kv100-s42,splitwise,3,5,500,long,100.0,42,500,46.5721,72.9588,0.038269,0.058503,121.5238,0.0060,0.184094,0.080449,337
sw-long-3p5d-kv100-s43,splitwise,3,5,500,long,100.0,43,500,46.8512,69.9710,0.042920,0.058482,73.7072,0.0040,0.093044,0.040660,327
sw-long-3p5d-kv100-s44,splitwise,3,5,500,long,100.0,44,500,46.9873,71.9186,0.041464,0.058568,95.6953,0.0040,0.134039,0.058575,269
sw-long-4p4d-kv100-s42,splitwise,4,4,500,long,100.0,42,500,35.4214,52.2723,0.032418,0.058596,208.4818,0.0080,0.357740,0.156332,335
sw-long-3p5d-kv100-s45,splitwise,3,5,500,long,100.0,45,500,43.1933,66.0471,0.038107,0.058314,93.9872,0.0060,0.133928,0.058526,337
sw-long-3p5d-kv100-s46,splitwise,3,5,500,long,100.0,46,500,45.3869,70.3642,0.039119,0.058324,99.7153,0.0040,0.142206,0.062144,358
sw-long-4p4d-kv100-s43,splitwise,4,4,500,long,100.0,43,500,35.6271,51.9921,0.037179,0.058468,125.9870,0.0060,0.199107,0.087010,341
sw-long-4p4d-kv100-s45,splitwise,4,4,500,long,100.0,45,500,32.5997,48.8774,0.032814,0.057818,176.4737,0.0080,0.299487,0.130876,304
sw-long-4p4d-kv100-s44,splitwise,4,4,500,long,100.0,44,500,35.7571,51.6680,0.036130,0.058455,177.7995,0.0040,0.299209,0.130754,323
sw-long-4p4d-kv100-s46,splitwise,4,4,500,long,100.0,46,500,34.0995,50.7366,0.033359,0.058515,176.7096,0.0060,0.298121,0.130279,337
sw-long-5p3d-kv100-s42,splitwise,5,3,500,long,100.0,42,500,27.9229,42.8538,0.027190,0.049258,406.6117,0.0100,0.757029,0.330821,252
sw-long-5p3d-kv100-s43,splitwise,5,3,500,long,100.0,43,500,29.1252,41.0836,0.031019,0.054523,264.3029,0.0080,0.476025,0.208023,270
sw-long-5p3d-kv100-s44,splitwise,5,3,500,long,100.0,44,500,29.2478,43.2234,0.030168,0.053195,322.0555,0.0040,0.588507,0.257177,285
sw-long-5p3d-kv100-s45,splitwise,5,3,500,long,100.0,45,500,25.3875,38.4212,0.026566,0.043857,348.6895,0.0080,0.647854,0.283112,292
sw-long-5p3d-kv100-s46,splitwise,5,3,500,long,100.0,46,500,28.0177,39.6527,0.028787,0.052844,329.2678,0.0080,0.606100,0.264866,298
sw-long-6p2d-kv100-s43,splitwise,6,2,500,long,100.0,43,500,24.1384,35.3123,0.032263,0.058575,422.5408,0.0080,0.794161,0.347048,272
sw-long-6p2d-kv100-s42,splitwise,6,2,500,long,100.0,42,500,22.4524,35.6444,0.031286,0.058508,512.3376,0.0100,0.973117,0.425252,331
sw-long-6p2d-kv100-s44,splitwise,6,2,500,long,100.0,44,500,24.1877,36.6059,0.033405,0.058582,467.1973,0.0040,0.880831,0.384923,292
sw-long-6p2d-kv100-s45,splitwise,6,2,500,long,100.0,45,500,20.4247,33.9824,0.032553,0.058518,436.5527,0.0100,0.827439,0.361591,300
sw-long-1p7d-kv200-s43,splitwise,1,7,500,long,200.0,43,500,125.6700,222.0187,0.044249,0.055051,29.9648,0.0020,0.008637,0.003775,254
sw-long-1p7d-kv200-s42,splitwise,1,7,500,long,200.0,42,500,125.3541,223.4393,0.042599,0.053757,50.8960,0.0020,0.041611,0.018184,329
sw-long-6p2d-kv100-s46,splitwise,6,2,500,long,100.0,46,500,22.8112,36.8277,0.031819,0.058642,492.9198,0.0080,0.934364,0.408317,355
sw-long-1p7d-kv200-s44,splitwise,1,7,500,long,200.0,44,500,128.6106,224.7516,0.043227,0.056712,46.5326,0.0020,0.034512,0.015082,237
sw-long-1p7d-kv200-s45,splitwise,1,7,500,long,200.0,45,500,118.2774,211.1929,0.041567,0.050414,26.2794,0.0020,0.007863,0.003436,352
sw-long-1p7d-kv200-s46,splitwise,1,7,500,long,200.0,46,500,123.1675,218.1979,0.043418,0.055005,31.9167,0.0020,0.012791,0.005590,336
sw-long-2p6d-kv200-s42,splitwise,2,6,500,long,200.0,42,500,66.9781,110.1702,0.042558,0.058144,70.0774,0.0040,0.078207,0.034176,355
sw-long-2p6d-kv200-s43,splitwise,2,6,500,long,200.0,43,500,66.9191,108.3066,0.042530,0.058517,57.9305,0.0020,0.058670,0.025639,295
sw-long-2p6d-kv200-s44,splitwise,2,6,500,long,200.0,44,500,68.5204,109.5812,0.043652,0.057801,65.9622,0.0040,0.073726,0.032218,324
sw-long-2p6d-kv200-s45,splitwise,2,6,500,long,200.0,45,500,62.5097,104.4149,0.039177,0.054595,54.3977,0.0040,0.055416,0.024217,363
sw-long-2p6d-kv200-s46,splitwise,2,6,500,long,200.0,46,500,65.4983,106.8127,0.041513,0.058171,59.1229,0.0020,0.062652,0.027379,356
sw-long-3p5d-kv200-s42,splitwise,3,5,500,long,200.0,42,500,46.5730,72.9615,0.038704,0.058503,117.6082,0.0060,0.176286,0.077037,330
sw-long-3p5d-kv200-s44,splitwise,3,5,500,long,200.0,44,500,46.9873,71.9186,0.041575,0.058568,91.6124,0.0040,0.126271,0.055181,353
sw-long-3p5d-kv200-s43,splitwise,3,5,500,long,200.0,43,500,46.8507,69.9696,0.042929,0.058482,73.1359,0.0040,0.091890,0.040156,378
sw-long-3p5d-kv200-s45,splitwise,3,5,500,long,200.0,45,500,43.1943,66.0471,0.038196,0.058314,91.5113,0.0060,0.129089,0.056412,350
sw-long-3p5d-kv200-s46,splitwise,3,5,500,long,200.0,46,500,45.3869,70.3642,0.039669,0.058420,97.6218,0.0040,0.138218,0.060401,287
sw-long-4p4d-kv200-s42,splitwise,4,4,500,long,200.0,42,500,35.4222,52.2748,0.032427,0.058596,204.1219,0.0080,0.349124,0.152567,271
sw-long-4p4d-kv200-s44,splitwise,4,4,500,long,200.0,44,500,35.7571,51.6680,0.036171,0.058455,172.3305,0.0040,0.288382,0.126023,291
sw-long-4p4d-kv200-s43,splitwise,4,4,500,long,200.0,43,500,35.6268,51.9921,0.037212,0.058468,121.8911,0.0060,0.191001,0.083467,303
sw-long-4p4d-kv200-s45,splitwise,4,4,500,long,200.0,45,500,32.6004,48.8774,0.032830,0.057817,172.8925,0.0080,0.292424,0.127789,318
sw-long-4p4d-kv200-s46,splitwise,4,4,500,long,200.0,46,500,34.0995,50.7366,0.033821,0.058515,171.2355,0.0060,0.286633,0.125259,323
sw-long-5p3d-kv200-s43,splitwise,5,3,500,long,200.0,43,500,29.1249,41.0822,0.031114,0.054523,250.2730,0.0080,0.448199,0.195863,292
sw-long-5p3d-kv200-s42,splitwise,5,3,500,long,200.0,42,500,27.9012,42.8546,0.027216,0.049258,396.0713,0.0100,0.736125,0.321686,307
sw-long-5p3d-kv200-s44,splitwise,5,3,500,long,200.0,44,500,29.2478,43.2234,0.030261,0.053195,301.0219,0.0040,0.546884,0.238988,298
sw-long-5p3d-kv200-s46,splitwise,5,3,500,long,200.0,46,500,28.0177,39.6527,0.028447,0.054162,339.1340,0.0080,0.625102,0.273170,311
sw-long-5p3d-kv200-s45,splitwise,5,3,500,long,200.0,45,500,25.3881,38.4212,0.026572,0.043853,336.1863,0.0080,0.623074,0.272283,333
sw-long-6p2d-kv200-s42,splitwise,6,2,500,long,200.0,42,500,22.4529,35.6471,0.031350,0.058508,492.2555,0.0100,0.933283,0.407845,337
sw-long-6p2d-kv200-s43,splitwise,6,2,500,long,200.0,43,500,24.1383,35.3123,0.032385,0.058575,389.8104,0.0080,0.729241,0.318678,310
sw-long-6p2d-kv200-s44,splitwise,6,2,500,long,200.0,44,500,24.1877,36.6059,0.033653,0.058582,437.1656,0.0040,0.821263,0.358892,287
sw-long-6p2d-kv200-s45,splitwise,6,2,500,long,200.0,45,500,20.4252,33.9823,0.032576,0.058508,424.6101,0.0100,0.803757,0.351242,350
sw-long-6p2d-kv200-s46,splitwise,6,2,500,long,200.0,46,500,22.8112,36.8277,0.031752,0.058631,468.5475,0.0080,0.886015,0.387189,343
sw-long-1p7d-kv400-s42,splitwise,1,7,500,long,400.0,42,500,125.3541,223.4393,0.042596,0.053757,50.9856,0.0020,0.041809,0.018271,267
sw-long-1p7d-kv400-s43,splitwise,1,7,500,long,400.0,43,500,125.6700,222.0187,0.044257,0.055051,28.7832,0.0020,0.007032,0.003073,279
sw-long-1p7d-kv400-s44,splitwise,1,7,500,long,400.0,44,500,128.6106,224.7516,0.043219,0.056712,48.8254,0.0020,0.038381,0.016772,292
sw-long-1p7d-kv400-s45,splitwise,1,7,500,long,400.0,45,500,118.2774,211.1929,0.041652,0.050414,25.3635,0.0020,0.006712,0.002933,299
sw-long-1p7d-kv400-s46,splitwise,1,7,500,long,400.0,46,500,123.1675,218.1979,0.043420,0.055005,31.9258,0.0020,0.012581,0.005498,270
sw-long-2p6d-kv400-s42,splitwise,2,6,500,long,400.0,42,500,66.9781,110.1702,0.042572,0.058144,67.3090,0.0040,0.072819,0.031822,340
sw-long-2p6d-kv400-s43,splitwise,2,6,500,long,400.0,43,500,66.9191,108.3066,0.042579,0.058517,55.8383,0.0020,0.054913,0.023997,317
sw-long-2p6d-kv400-s44,splitwise,2,6,500,long,400.0,44,500,68.5204,109.5812,0.043648,0.057801,66.0990,0.0040,0.073998,0.032337,316
sw-long-2p6d-kv400-s45,splitwise,2,6,500,long,400.0,45,500,62.5097,104.4149,0.041505,0.055343,50.0545,0.0040,0.048389,0.021146,334
sw-long-3p5d-kv400-s43,splitwise,3,5,500,long,400.0,43,500,46.8505,69.9690,0.043268,0.058482,70.4159,0.0040,0.086641,0.037862,298
sw-long-3p5d-kv400-s42,splitwise,3,5,500,long,400.0,42,500,46.5730,72.9615,0.038710,0.058503,117.5277,0.0060,0.176134,0.076971,357
sw-long-2p6d-kv400-s46,splitwise,2,6,500,long,400.0,46,500,65.4983,106.8127,0.043839,0.058171,55.5967,0.0020,0.057394,0.025081,369
sw-long-3p5d-kv400-s44,splitwise,3,5,500,long,400.0,44,500,46.9873,71.9186,0.041590,0.058568,88.0237,0.0040,0.119192,0.052087,295
sw-long-3p5d-kv400-s45,splitwise,3,5,500,long,400.0,45,500,43.1966,66.0471,0.038150,0.058234,91.5041,0.0060,0.129137,0.056433,361
sw-long-3p5d-kv400-s46,splitwise,3,5,500,long,400.0,46,500,45.3892,70.3711,0.039502,0.058422,97.3248,0.0040,0.137708,0.060178,353
sw-long-4p4d-kv400-s42,splitwise,4,4,500,long,400.0,42,500,35.4222,52.2748,0.032450,0.058596,198.6067,0.0080,0.338185,0.147787,347
sw-long-4p4d-kv400-s43,splitwise,4,4,500,long,400.0,43,500,35.6266,51.9921,0.037352,0.058468,113.1579,0.0060,0.173731,0.075921,268
sw-long-4p4d-kv400-s46,splitwise,4,4,500,long,400.0,46,500,34.1012,50.7366,0.033813,0.058569,165.3360,0.0060,0.274949,0.120153,268
sw-long-4p4d-kv400-s44,splitwise,4,4,500,long,400.0,44,500,35.7571,51.6680,0.036236,0.058455,167.8187,0.0040,0.279423,0.122108,277
sw-long-4p4d-kv400-s45,splitwise,4,4,500,long,400.0,45,500,32.6038,48.8774,0.033416,0.057353,170.3802,0.0080,0.287581,0.125673,268
sw-long-5p3d-kv400-s42,splitwise,5,3,500,long,400.0,42,500,27.9012,42.8546,0.027243,0.049258,380.9602,0.0100,0.706152,0.308588,306
sw-long-5p3d-kv400-s44,splitwise,5,3,500,long,400.0,44,500,29.2478,43.2234,0.030500,0.053195,280.7445,0.0040,0.506693,0.221425,302
sw-long-5p3d-kv400-s43,splitwise,5,3,500,long,400.0,43,500,29.1248,41.0816,0.031545,0.054499,221.6316,0.0080,0.391284,0.170991,337
sw-long-5p3d-kv400-s45,splitwise,5,3,500,long,400.0,45,500,25.3907,38.4283,0.027003,0.046129,329.1413,0.0080,0.609114,0.266183,352
sw-long-5p3d-kv400-s46,splitwise,5,3,500,long,400.0,46,500,28.0191,39.6527,0.028561,0.054520,321.9707,0.0080,0.591032,0.258281,327
sw-long-6p2d-kv400-s44,splitwise,6,2,500,long,400.0,44,500,24.1877,36.6059,0.033693,0.058582,396.9250,0.0040,0.741447,0.324012,282
sw-long-6p2d-kv400-s43,splitwise,6,2,500,long,400.0,43,500,24.1381,35.3123,0.032749,0.058575,336.6250,0.0080,0.623774,0.272589,331
sw-long-6p2d-kv400-s42,splitwise,6,2,500,long,400.0,42,500,22.4529,35.6471,0.031443,0.058508,459.3558,0.0100,0.868026,0.379328,355
sw-long-6p2d-kv400-s45,splitwise,6,2,500,long,400.0,45,500,20.4094,33.9894,0.032629,0.058518,409.6851,0.0100,0.774229,0.338338,232
sw-long-6p2d-kv400-s46,splitwise,6,2,500,long,400.0,46,500,22.8124,36.8277,0.031768,0.058595,457.0800,0.0080,0.863269,0.377249,222
