label,policy,burst,startup_sec,max_pool,min_pool,initial_pool,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,cold_start_violations,active_vm_hours,idle_vm_hours,cost_usd,total_energy_kwh,wall_ms
STATIC-med-s15-seed45,STATIC,med,15.0,8,2,4,2000,medium,45,2000,0.1256,0.1938,0.012481,0.013748,6.2642,1.0000,0,0.8508,0.8508,1.5739,0.051155,295
STATIC-med-s15-seed43,STATIC,med,15.0,8,2,4,2000,medium,43,2000,0.1252,0.1950,0.012507,0.013649,6.3840,1.0000,0,0.8396,0.8396,1.5532,0.052157,324
STATIC-med-s15-seed42,STATIC,med,15.0,8,2,4,2000,medium,42,2000,0.1255,0.1952,0.012501,0.013581,6.4255,1.0000,0,0.8391,0.8391,1.5523,0.052501,314
STATIC-med-s15-seed46,STATIC,med,15.0,8,2,4,2000,medium,46,2000,0.1258,0.1949,0.012469,0.013490,6.3927,1.0000,0,0.8391,0.8391,1.5523,0.052224,375
STATIC-med-s15-seed44,STATIC,med,15.0,8,2,4,2000,medium,44,2000,0.1258,0.1943,0.012478,0.013534,6.4015,1.0000,0,0.8409,0.8409,1.5556,0.052298,369
STATIC-med-s15-seed47,STATIC,med,15.0,8,2,4,2000,medium,47,2000,0.1241,0.1936,0.012511,0.013896,6.3217,1.0000,0,0.8099,0.8099,1.4983,0.051647,377
STATIC-med-s15-seed50,STATIC,med,15.0,8,2,4,2000,medium,50,2000,0.1257,0.1935,0.012496,0.013706,6.4524,1.0000,0,0.8283,0.8283,1.5324,0.052722,248
STATIC-med-s15-seed53,STATIC,med,15.0,8,2,4,2000,medium,53,2000,0.1274,0.1948,0.012462,0.013424,6.2038,1.0000,0,0.8419,0.8419,1.5576,0.050636,276
STATIC-med-s15-seed52,STATIC,med,15.0,8,2,4,2000,medium,52,2000,0.1249,0.1947,0.012515,0.013733,6.4400,1.0000,0,0.8330,0.8330,1.5410,0.052626,356
STATIC-med-s15-seed49,STATIC,med,15.0,8,2,4,2000,medium,49,2000,0.1247,0.1952,0.012498,0.013625,6.3267,1.0000,0,0.8096,0.8096,1.4978,0.051683,379
STATIC-med-s15-seed48,STATIC,med,15.0,8,2,4,2000,medium,48,2000,0.1248,0.1938,0.012469,0.013527,6.3209,1.0000,0,0.8218,0.8218,1.5204,0.051635,423
STATIC-med-s15-seed51,STATIC,med,15.0,8,2,4,2000,medium,51,2000,0.1259,0.1949,0.012478,0.013516,6.3545,1.0000,0,0.8408,0.8408,1.5555,0.051905,379
STATIC-med-s15-seed54,STATIC,med,15.0,8,2,4,2000,medium,54,2000,0.1235,0.1941,0.012503,0.013672,6.3594,1.0000,0,0.8313,0.8313,1.5380,0.051966,248
STATIC-med-s15-seed58,STATIC,med,15.0,8,2,4,2000,medium,58,2000,0.1268,0.1952,0.012504,0.013648,6.4269,1.0000,0,0.8331,0.8331,1.5412,0.052500,308
STATIC-med-s15-seed57,STATIC,med,15.0,8,2,4,2000,medium,57,2000,0.1266,0.1944,0.012473,0.013387,6.3200,1.0000,0,0.8282,0.8282,1.5321,0.051612,337
STATIC-med-s15-seed55,STATIC,med,15.0,8,2,4,2000,medium,55,2000,0.1260,0.1942,0.012492,0.013738,6.4073,1.0000,0,0.8304,0.8304,1.5361,0.052344,362
STATIC-med-s15-seed59,STATIC,med,15.0,8,2,4,2000,medium,59,2000,0.1236,0.1949,0.012473,0.013544,6.2422,1.0000,0,0.8313,0.8313,1.5379,0.050989,321
STATIC-med-s15-seed56,STATIC,med,15.0,8,2,4,2000,medium,56,2000,0.1267,0.1954,0.012485,0.013573,6.4155,1.0000,0,0.8411,0.8411,1.5561,0.052407,348
STATIC-med-s15-seed60,STATIC,med,15.0,8,2,4,2000,medium,60,2000,0.1271,0.1934,0.012508,0.013793,6.3375,1.0000,0,0.8194,0.8194,1.5159,0.051753,245
STATIC-high-s15-seed43,STATIC,high,15.0,8,2,4,2000,medium,43,2000,0.1263,0.1979,0.013240,0.015627,7.2354,1.0000,0,0.6768,0.6768,1.2521,0.059243,295
STATIC-high-s15-seed44,STATIC,high,15.0,8,2,4,2000,medium,44,2000,0.1267,0.1968,0.013233,0.015399,7.2978,1.0000,0,0.6866,0.6866,1.2703,0.059759,302
STATIC-med-s15-seed61,STATIC,med,15.0,8,2,4,2000,medium,61,2000,0.1267,0.1940,0.012518,0.013743,6.3337,1.0000,0,0.8196,0.8196,1.5163,0.051725,343
STATIC-high-s15-seed42,STATIC,high,15.0,8,2,4,2000,medium,42,2000,0.1265,0.1954,0.013221,0.015520,7.2346,1.0000,0,0.6776,0.6776,1.2536,0.059234,377
STATIC-high-s15-seed45,STATIC,high,15.0,8,2,4,2000,medium,45,2000,0.1266,0.1973,0.013140,0.015494,7.1195,1.0000,0,0.6878,0.6878,1.2725,0.058274,344
STATIC-high-s15-seed46,STATIC,high,15.0,8,2,4,2000,medium,46,2000,0.1269,0.1992,0.013278,0.015463,7.3342,1.0000,0,0.6772,0.6772,1.2529,0.060061,213
STATIC-high-s15-seed47,STATIC,high,15.0,8,2,4,2000,medium,47,2000,0.1254,0.1958,0.013217,0.015438,7.2266,1.0000,0,0.6415,0.6415,1.1868,0.059177,322
STATIC-high-s15-seed48,STATIC,high,15.0,8,2,4,2000,medium,48,2000,0.1260,0.1971,0.013325,0.015562,7.3452,1.0000,0,0.6660,0.6660,1.2321,0.060160,349
STATIC-high-s15-seed51,STATIC,high,15.0,8,2,4,2000,medium,51,2000,0.1274,0.1986,0.013261,0.015569,7.2781,1.0000,0,0.6859,0.6859,1.2689,0.059589,319
STATIC-high-s15-seed49,STATIC,high,15.0,8,2,4,2000,medium,49,2000,0.1262,0.2014,0.013478,0.015878,7.5922,1.0000,0,0.6501,0.6501,1.2027,0.062217,348
STATIC-high-s15-seed50,STATIC,high,15.0,8,2,4,2000,medium,50,2000,0.1265,0.1954,0.013346,0.015744,7.4459,1.0000,0,0.6608,0.6608,1.2224,0.060995,341
STATIC-high-s15-seed52,STATIC,high,15.0,8,2,4,2000,medium,52,2000,0.1260,0.1957,0.013220,0.015277,7.2855,1.0000,0,0.6764,0.6764,1.2514,0.059662,291
STATIC-high-s15-seed55,STATIC,high,15.0,8,2,4,2000,medium,55,2000,0.1282,0.1993,0.013500,0.015899,7.5998,1.0000,0,0.6722,0.6722,1.2437,0.062263,251
STATIC-high-s15-seed54,STATIC,high,15.0,8,2,4,2000,medium,54,2000,0.1244,0.1968,0.013283,0.015334,7.3052,1.0000,0,0.6839,0.6839,1.2653,0.059840,251
STATIC-high-s15-seed53,STATIC,high,15.0,8,2,4,2000,medium,53,2000,0.1280,0.1961,0.013123,0.015002,7.0787,1.0000,0,0.6882,0.6882,1.2731,0.057922,325
STATIC-high-s15-seed56,STATIC,high,15.0,8,2,4,2000,medium,56,2000,0.1278,0.1975,0.013306,0.015691,7.3821,1.0000,0,0.6867,0.6867,1.2705,0.060452,299
STATIC-high-s15-seed57,STATIC,high,15.0,8,2,4,2000,medium,57,2000,0.1279,0.1975,0.013284,0.015542,7.3274,1.0000,0,0.6727,0.6727,1.2445,0.059995,333
STATIC-high-s15-seed58,STATIC,high,15.0,8,2,4,2000,medium,58,2000,0.1278,0.1955,0.013283,0.015416,7.3824,1.0000,0,0.6764,0.6764,1.2513,0.060455,257
REACTIVE-med-s15-seed43,REACTIVE,med,15.0,8,2,4,2000,medium,43,2000,0.2124,3.7263,0.012347,0.013623,6.2605,0.9970,586,1.2348,0.4332,2.2844,0.050401,199
STATIC-high-s15-seed59,STATIC,high,15.0,8,2,4,2000,medium,59,2000,0.1246,0.1960,0.013131,0.015222,7.1301,1.0000,0,0.6869,0.6869,1.2707,0.058379,312
REACTIVE-med-s15-seed42,REACTIVE,med,15.0,8,2,4,2000,medium,42,2000,0.2184,3.9774,0.012307,0.013369,6.2560,0.9955,631,1.2520,0.4258,2.3163,0.050314,321
STATIC-high-s15-seed61,STATIC,high,15.0,8,2,4,2000,medium,61,2000,0.1279,0.1983,0.013256,0.015667,7.2848,1.0000,0,0.6651,0.6651,1.2305,0.059641,350
