label,mix,policy,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,total_carbon_kg,wall_ms
a100x8-FREE_HBM-long-s45,a100x8,FREE_HBM,500,long,45,500,12.8927,23.2983,0.045725,0.051972,36.2217,0.0140,0.046273,0.020221,220
a100x8-EST_TTFT-long-s43,a100x8,EST_TTFT,500,long,43,500,16.3236,25.7549,0.046624,0.052194,38.7001,0.0060,0.044384,0.019396,190
a100x8-FREE_HBM-long-s46,a100x8,FREE_HBM,500,long,46,500,14.6487,24.7174,0.046373,0.051947,37.9707,0.0120,0.046260,0.020215,199
a100x8-EST_TTFT-long-s44,a100x8,EST_TTFT,500,long,44,500,15.6387,26.6775,0.047241,0.052397,38.9386,0.0060,0.046215,0.020196,212
a100x8-EST_TTFT-long-s42,a100x8,EST_TTFT,500,long,42,500,15.0289,24.7820,0.047024,0.051973,39.0669,0.0140,0.047679,0.020836,240
a100x8-EST_TTFT-long-s45,a100x8,EST_TTFT,500,long,45,500,12.8927,23.2983,0.045725,0.051972,36.2217,0.0140,0.046273,0.020221,223
h100x8-FREE_HBM-long-s42,h100x8,FREE_HBM,500,long,42,500,5.2633,12.0659,0.028107,0.031290,18.1973,0.0600,0.044208,0.019319,221
a100x8-EST_TTFT-long-s46,a100x8,EST_TTFT,500,long,46,500,14.6487,24.7174,0.046373,0.051947,37.9707,0.0120,0.046260,0.020215,225
h100x8-FREE_HBM-long-s43,h100x8,FREE_HBM,500,long,43,500,4.6374,13.2130,0.027990,0.031516,17.4079,0.0520,0.043649,0.019075,209
h100x8-EST_TTFT-long-s42,h100x8,EST_TTFT,500,long,42,500,5.2633,12.0659,0.028107,0.031290,18.1973,0.0600,0.044208,0.019319,212
h100x8-FREE_HBM-long-s45,h100x8,FREE_HBM,500,long,45,500,5.2284,9.5515,0.026985,0.031022,17.3134,0.0320,0.041306,0.018051,219
h100x8-FREE_HBM-long-s44,h100x8,FREE_HBM,500,long,44,500,5.8173,12.6138,0.028162,0.031526,18.3533,0.0260,0.042848,0.018724,229
h100x8-FREE_HBM-long-s46,h100x8,FREE_HBM,500,long,46,500,3.8782,10.7895,0.027619,0.031077,16.8594,0.0820,0.044369,0.019389,231
h100x8-EST_TTFT-long-s44,h100x8,EST_TTFT,500,long,44,500,5.8173,12.6138,0.028162,0.031526,18.3533,0.0260,0.042848,0.018724,197
h100x8-EST_TTFT-long-s43,h100x8,EST_TTFT,500,long,43,500,4.6374,13.2130,0.027990,0.031516,17.4079,0.0520,0.043649,0.019075,220
h100x8-EST_TTFT-long-s45,h100x8,EST_TTFT,500,long,45,500,5.2284,9.5515,0.026985,0.031022,17.3134,0.0320,0.041306,0.018051,224
h100x8-EST_TTFT-long-s46,h100x8,EST_TTFT,500,long,46,500,3.8782,10.7895,0.027619,0.031077,16.8594,0.0820,0.044369,0.019389,232
l40sx8-FREE_HBM-long-s43,l40sx8,FREE_HBM,500,long,43,500,11.6210,21.0613,0.079842,0.080779,44.1030,0.0000,0.055857,0.024409,198
l40sx8-FREE_HBM-long-s44,l40sx8,FREE_HBM,500,long,44,500,12.5717,24.0099,0.079848,0.080772,45.0990,0.0000,0.055934,0.024443,202
l40sx8-FREE_HBM-long-s42,l40sx8,FREE_HBM,500,long,42,500,13.1981,35.4777,0.079843,0.080780,46.0093,0.0000,0.056423,0.024657,240
l40sx8-FREE_HBM-long-s45,l40sx8,FREE_HBM,500,long,45,500,9.0584,18.3396,0.079804,0.080789,42.1496,0.0000,0.056904,0.024867,211
l40sx8-EST_TTFT-long-s44,l40sx8,EST_TTFT,500,long,44,500,12.5717,24.0099,0.079848,0.080772,45.0990,0.0000,0.055934,0.024443,194
l40sx8-FREE_HBM-long-s46,l40sx8,FREE_HBM,500,long,46,500,10.1974,18.9427,0.079898,0.080723,43.8038,0.0000,0.057790,0.025254,224
l40sx8-EST_TTFT-long-s43,l40sx8,EST_TTFT,500,long,43,500,11.6210,21.0613,0.079842,0.080779,44.1030,0.0000,0.055857,0.024409,220
l40sx8-EST_TTFT-long-s42,l40sx8,EST_TTFT,500,long,42,500,13.1981,35.4777,0.079843,0.080780,46.0093,0.0000,0.056423,0.024657,224
l40sx8-EST_TTFT-long-s45,l40sx8,EST_TTFT,500,long,45,500,9.0584,18.3396,0.079804,0.080789,42.1496,0.0000,0.056904,0.024867,237
a100x4_h100x4-FREE_HBM-long-s43,a100x4_h100x4,FREE_HBM,500,long,43,500,10.0319,25.7549,0.037409,0.052194,27.8946,0.0340,0.048242,0.021082,217
a100x4_h100x4-FREE_HBM-long-s42,a100x4_h100x4,FREE_HBM,500,long,42,500,8.5274,24.7820,0.037684,0.051973,27.6338,0.0620,0.051601,0.022550,221
l40sx8-EST_TTFT-long-s46,l40sx8,EST_TTFT,500,long,46,500,10.1974,18.9427,0.079898,0.080723,43.8038,0.0000,0.057790,0.025254,225
a100x4_h100x4-FREE_HBM-long-s44,a100x4_h100x4,FREE_HBM,500,long,44,500,9.8587,23.3875,0.037871,0.052360,28.4819,0.0220,0.050296,0.021980,205
a100x4_h100x4-EST_TTFT-long-s42,a100x4_h100x4,EST_TTFT,500,long,42,500,8.5274,24.7820,0.037684,0.051973,27.6338,0.0620,0.051601,0.022550,232
a100x4_h100x4-FREE_HBM-long-s46,a100x4_h100x4,FREE_HBM,500,long,46,500,10.4696,24.7174,0.037267,0.051947,28.2741,0.0300,0.048085,0.021013,230
a100x4_h100x4-FREE_HBM-long-s45,a100x4_h100x4,FREE_HBM,500,long,45,500,8.4129,21.2473,0.036300,0.049530,26.2302,0.0300,0.048120,0.021028,234
a100x4_h100x4-EST_TTFT-long-s43,a100x4_h100x4,EST_TTFT,500,long,43,500,10.0319,25.7549,0.037409,0.052194,27.8946,0.0340,0.048242,0.021082,212
a100x4_h100x4-EST_TTFT-long-s44,a100x4_h100x4,EST_TTFT,500,long,44,500,9.8587,23.3875,0.037871,0.052360,28.4819,0.0220,0.050296,0.021980,206
a100x4_h100x4-EST_TTFT-long-s45,a100x4_h100x4,EST_TTFT,500,long,45,500,8.4129,21.2473,0.036300,0.049530,26.2302,0.0300,0.048120,0.021028,214
a100x4_h100x4-EST_TTFT-long-s46,a100x4_h100x4,EST_TTFT,500,long,46,500,10.4696,24.7174,0.037267,0.051947,28.2741,0.0300,0.048085,0.021013,216
a100x4_l40sx4-FREE_HBM-long-s42,a100x4_l40sx4,FREE_HBM,500,long,42,500,12.9339,24.7820,0.063359,0.080779,41.8929,0.0100,0.053620,0.023432,232
a100x4_l40sx4-FREE_HBM-long-s43,a100x4_l40sx4,FREE_HBM,500,long,43,500,13.9096,25.7549,0.063087,0.080779,41.4431,0.0040,0.050980,0.022278,209
a100x4_l40sx4-FREE_HBM-long-s44,a100x4_l40sx4,FREE_HBM,500,long,44,500,13.1729,23.3875,0.063514,0.080772,41.4094,0.0040,0.052282,0.022847,203
a100x4_l40sx4-FREE_HBM-long-s45,a100x4_l40sx4,FREE_HBM,500,long,45,500,10.9288,21.2473,0.062376,0.080695,39.1469,0.0120,0.052248,0.022832,214
a100x4_l40sx4-EST_TTFT-long-s43,a100x4_l40sx4,EST_TTFT,500,long,43,500,13.9096,25.7549,0.063087,0.080779,41.4431,0.0040,0.050980,0.022278,203
a100x4_l40sx4-EST_TTFT-long-s44,a100x4_l40sx4,EST_TTFT,500,long,44,500,13.1729,23.3875,0.063514,0.080772,41.4094,0.0040,0.052282,0.022847,205
a100x4_l40sx4-EST_TTFT-long-s42,a100x4_l40sx4,EST_TTFT,500,long,42,500,12.9339,24.7820,0.063359,0.080779,41.8929,0.0100,0.053620,0.023432,208
a100x4_l40sx4-FREE_HBM-long-s46,a100x4_l40sx4,FREE_HBM,500,long,46,500,12.6911,24.7174,0.063344,0.080608,41.1260,0.0060,0.052649,0.023008,219
a100x4_l40sx4-EST_TTFT-long-s45,a100x4_l40sx4,EST_TTFT,500,long,45,500,10.9288,21.2473,0.062376,0.080695,39.1469,0.0120,0.052248,0.022832,227
h100x2_a100x4_l40sx2-FREE_HBM-long-s43,h100x2_a100x4_l40sx2,FREE_HBM,500,long,43,500,12.5549,24.7839,0.050290,0.080779,35.2942,0.0140,0.051758,0.022618,238
h100x2_a100x4_l40sx2-FREE_HBM-long-s42,h100x2_a100x4_l40sx2,FREE_HBM,500,long,42,500,12.4409,23.3832,0.050168,0.080779,35.6223,0.0100,0.052764,0.023058,236
a100x4_l40sx4-EST_TTFT-long-s46,a100x4_l40sx4,EST_TTFT,500,long,46,500,12.6911,24.7174,0.063344,0.080608,41.1260,0.0060,0.052649,0.023008,251
h100x2_a100x4_l40sx2-FREE_HBM-long-s44,h100x2_a100x4_l40sx2,FREE_HBM,500,long,44,500,12.6366,26.6775,0.050660,0.080747,35.1911,0.0040,0.051337,0.022434,207
h100x2_a100x4_l40sx2-FREE_HBM-long-s46,h100x2_a100x4_l40sx2,FREE_HBM,500,long,46,500,10.4311,24.7174,0.050435,0.080608,34.1081,0.0380,0.053892,0.023551,225
h100x2_a100x4_l40sx2-EST_TTFT-long-s42,h100x2_a100x4_l40sx2,EST_TTFT,500,long,42,500,12.4409,23.3832,0.050168,0.080779,35.6223,0.0100,0.052764,0.023058,222
h100x2_a100x4_l40sx2-FREE_HBM-long-s45,h100x2_a100x4_l40sx2,FREE_HBM,500,long,45,500,10.1949,23.2983,0.049367,0.080676,32.9454,0.0180,0.051783,0.022629,233
h100x2_a100x4_l40sx2-EST_TTFT-long-s43,h100x2_a100x4_l40sx2,EST_TTFT,500,long,43,500,12.5549,24.7839,0.050290,0.080779,35.2942,0.0140,0.051758,0.022618,197
h100x2_a100x4_l40sx2-EST_TTFT-long-s44,h100x2_a100x4_l40sx2,EST_TTFT,500,long,44,500,12.6366,26.6775,0.050660,0.080747,35.1911,0.0040,0.051337,0.022434,187
h100x2_a100x4_l40sx2-EST_TTFT-long-s45,h100x2_a100x4_l40sx2,EST_TTFT,500,long,45,500,10.1949,23.2983,0.049367,0.080676,32.9454,0.0180,0.051783,0.022629,214
h100x2_a100x4_l40sx2-EST_TTFT-long-s46,h100x2_a100x4_l40sx2,EST_TTFT,500,long,46,500,10.4311,24.7174,0.050435,0.080608,34.1081,0.0380,0.053892,0.023551,256
h100x4_l40sx4-FREE_HBM-long-s42,h100x4_l40sx4,FREE_HBM,500,long,42,500,9.6698,19.6234,0.053782,0.080779,32.4565,0.0080,0.058534,0.025579,242
h100x4_l40sx4-FREE_HBM-long-s43,h100x4_l40sx4,FREE_HBM,500,long,43,500,8.5151,20.9768,0.053668,0.080779,30.9564,0.0220,0.057647,0.025192,239
h100x4_l40sx4-FREE_HBM-long-s44,h100x4_l40sx4,FREE_HBM,500,long,44,500,9.1315,18.8249,0.053804,0.080772,31.2808,0.0080,0.056897,0.024864,221
h100x4_l40sx4-FREE_HBM-long-s45,h100x4_l40sx4,FREE_HBM,500,long,45,500,7.7444,18.3396,0.053062,0.080695,30.2300,0.0140,0.057761,0.025242,215
h100x4_l40sx4-FREE_HBM-long-s46,h100x4_l40sx4,FREE_HBM,500,long,46,500,6.0997,16.5175,0.053695,0.080608,29.7113,0.0580,0.060653,0.026506,223
h100x4_l40sx4-EST_TTFT-long-s43,h100x4_l40sx4,EST_TTFT,500,long,43,500,8.5151,20.9768,0.053668,0.080779,30.9564,0.0220,0.057647,0.025192,231
h100x4_l40sx4-EST_TTFT-long-s44,h100x4_l40sx4,EST_TTFT,500,long,44,500,9.1315,18.8249,0.053804,0.080772,31.2808,0.0080,0.056897,0.024864,210
h100x4_l40sx4-EST_TTFT-long-s42,h100x4_l40sx4,EST_TTFT,500,long,42,500,9.6698,19.6234,0.053782,0.080779,32.4565,0.0080,0.058534,0.025579,242
h100x4_l40sx4-EST_TTFT-long-s45,h100x4_l40sx4,EST_TTFT,500,long,45,500,7.7444,18.3396,0.053062,0.080695,30.2300,0.0140,0.057761,0.025242,190
h100x4_l40sx4-EST_TTFT-long-s46,h100x4_l40sx4,EST_TTFT,500,long,46,500,6.0997,16.5175,0.053695,0.080608,29.7113,0.0580,0.060653,0.026506,192
