label,policy,burst,startup_sec,max_pool,min_pool,initial_pool,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,cold_start_violations,active_vm_hours,idle_vm_hours,cost_usd,total_energy_kwh,wall_ms
STATIC-med-s15-seed44,STATIC,med,15.0,8,2,4,2000,medium,44,2000,1.6871,7.9932,0.018172,0.023013,14.6343,0.8345,0,0.2089,0.2089,0.3864,0.107894,256
STATIC-med-s15-seed45,STATIC,med,15.0,8,2,4,2000,medium,45,2000,1.7724,9.7664,0.017998,0.023384,14.4432,0.8490,0,0.2081,0.2081,0.3850,0.105590,256
STATIC-med-s15-seed42,STATIC,med,15.0,8,2,4,2000,medium,42,2000,2.4161,9.9714,0.018575,0.023658,15.6108,0.7405,0,0.1999,0.1999,0.3698,0.109956,267
STATIC-med-s15-seed43,STATIC,med,15.0,8,2,4,2000,medium,43,2000,2.3516,10.8694,0.018510,0.023676,15.4154,0.7685,0,0.1993,0.1993,0.3688,0.108865,275
STATIC-med-s15-seed48,STATIC,med,15.0,8,2,4,2000,medium,48,2000,2.4475,10.2167,0.018726,0.023727,15.8278,0.7375,0,0.1982,0.1982,0.3666,0.111503,211
STATIC-med-s15-seed47,STATIC,med,15.0,8,2,4,2000,medium,47,2000,2.3673,9.4441,0.018745,0.023447,15.7497,0.7570,0,0.1948,0.1948,0.3603,0.111520,228
STATIC-med-s15-seed49,STATIC,med,15.0,8,2,4,2000,medium,49,2000,3.4331,10.9416,0.019380,0.024024,17.3641,0.6265,0,0.1986,0.1986,0.3674,0.116092,241
STATIC-med-s15-seed46,STATIC,med,15.0,8,2,4,2000,medium,46,2000,1.9917,8.8500,0.018372,0.023291,15.1050,0.7975,0,0.2059,0.2059,0.3809,0.109277,280
STATIC-med-s15-seed51,STATIC,med,15.0,8,2,4,2000,medium,51,2000,2.1765,9.2531,0.018396,0.023664,15.1614,0.7800,0,0.2068,0.2068,0.3826,0.108207,258
STATIC-med-s15-seed52,STATIC,med,15.0,8,2,4,2000,medium,52,2000,2.5085,10.0294,0.018689,0.023746,15.8992,0.7400,0,0.1985,0.1985,0.3672,0.111589,288
