label,policy,burst,startup_sec,max_pool,min_pool,initial_pool,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,cold_start_violations,active_vm_hours,idle_vm_hours,cost_usd,total_energy_kwh,wall_ms
STATIC-med-s15-seed45,STATIC,med,15.0,8,2,4,2000,medium,45,2000,4.7512,22.8242,0.020380,0.025273,21.2901,0.5910,0,0.1969,0.1969,0.3643,0.137824,267
STATIC-med-s15-seed42,STATIC,med,15.0,8,2,4,2000,medium,42,2000,6.2161,19.6939,0.021381,0.026997,23.3353,0.4940,0,0.1880,0.1880,0.3478,0.142659,275
STATIC-med-s15-seed43,STATIC,med,15.0,8,2,4,2000,medium,43,2000,7.4434,21.7619,0.021976,0.028048,24.8831,0.4510,0,0.1886,0.1886,0.3489,0.145331,279
STATIC-med-s15-seed44,STATIC,med,15.0,8,2,4,2000,medium,44,2000,6.0570,20.0308,0.021202,0.026775,23.1856,0.5130,0,0.1955,0.1955,0.3617,0.142739,278
STATIC-med-s15-seed46,STATIC,med,15.0,8,2,4,2000,medium,46,2000,5.8949,22.1437,0.021121,0.026503,23.0233,0.5100,0,0.1960,0.1960,0.3625,0.142737,226
STATIC-med-s15-seed49,STATIC,med,15.0,8,2,4,2000,medium,49,2000,7.3086,22.5677,0.022138,0.027844,24.4081,0.4710,0,0.1839,0.1839,0.3402,0.142496,227
STATIC-med-s15-seed47,STATIC,med,15.0,8,2,4,2000,medium,47,2000,8.2391,21.4231,0.022719,0.028144,25.5965,0.3960,0,0.1763,0.1763,0.3262,0.144646,230
STATIC-med-s15-seed48,STATIC,med,15.0,8,2,4,2000,medium,48,2000,7.2529,20.8968,0.022120,0.027516,24.3336,0.4475,0,0.1775,0.1775,0.3284,0.142339,237
STATIC-med-s15-seed52,STATIC,med,15.0,8,2,4,2000,medium,52,2000,5.7956,20.2110,0.021154,0.026926,22.8050,0.5405,0,0.1878,0.1878,0.3475,0.141745,222
STATIC-med-s15-seed50,STATIC,med,15.0,8,2,4,2000,medium,50,2000,8.1942,23.0102,0.022608,0.028238,25.8486,0.4510,0,0.1840,0.1840,0.3404,0.147120,239
