label,policy,burst,startup_sec,max_pool,min_pool,initial_pool,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,cold_start_violations,active_vm_hours,idle_vm_hours,cost_usd,total_energy_kwh,wall_ms
STATIC-med-s15-seed47,STATIC,med,15.0,8,2,4,2000,medium,47,2000,0.1262,0.1979,0.013713,0.016607,7.8734,1.0000,0,0.4089,0.4089,0.7565,0.064560,229
STATIC-med-s15-seed43,STATIC,med,15.0,8,2,4,2000,medium,43,2000,0.1275,0.2181,0.013670,0.017114,8.0095,1.0000,0,0.4290,0.4290,0.7936,0.065683,270
STATIC-med-s15-seed46,STATIC,med,15.0,8,2,4,2000,medium,46,2000,0.1270,0.1973,0.013534,0.015865,7.9598,1.0000,0,0.4295,0.4295,0.7946,0.065273,336
STATIC-med-s15-seed42,STATIC,med,15.0,8,2,4,2000,medium,42,2000,0.1270,0.1962,0.013667,0.016444,8.0787,1.0000,0,0.4296,0.4296,0.7947,0.066264,332
STATIC-med-s15-seed44,STATIC,med,15.0,8,2,4,2000,medium,44,2000,0.1272,0.1975,0.013677,0.016296,8.2111,1.0000,0,0.4316,0.4316,0.7984,0.067366,351
STATIC-med-s15-seed45,STATIC,med,15.0,8,2,4,2000,medium,45,2000,0.1271,0.1992,0.013483,0.016556,7.5147,1.0000,0,0.4201,0.4201,0.7771,0.061563,358
STATIC-med-s15-seed53,STATIC,med,15.0,8,2,4,2000,medium,53,2000,0.1287,0.1978,0.013577,0.015814,7.6107,1.0000,0,0.4210,0.4210,0.7789,0.062350,306
STATIC-med-s15-seed48,STATIC,med,15.0,8,2,4,2000,medium,48,2000,0.1264,0.1971,0.013639,0.016658,7.7826,1.0000,0,0.4185,0.4185,0.7742,0.063801,331
STATIC-med-s15-seed50,STATIC,med,15.0,8,2,4,2000,medium,50,2000,0.1284,0.2084,0.013848,0.016730,8.1384,1.0000,0,0.4189,0.4189,0.7749,0.066750,339
STATIC-med-s15-seed51,STATIC,med,15.0,8,2,4,2000,medium,51,2000,0.1281,0.2147,0.013564,0.016269,7.8900,1.0000,0,0.4302,0.4302,0.7959,0.064682,306
STATIC-med-s15-seed49,STATIC,med,15.0,8,2,4,2000,medium,49,2000,0.1268,0.2076,0.013754,0.017020,7.9354,1.0000,0,0.4082,0.4082,0.7552,0.065072,362
STATIC-med-s15-seed52,STATIC,med,15.0,8,2,4,2000,medium,52,2000,0.1260,0.1963,0.013522,0.016073,7.8903,1.0000,0,0.4288,0.4288,0.7933,0.064703,347
STATIC-med-s15-seed54,STATIC,med,15.0,8,2,4,2000,medium,54,2000,0.1252,0.2010,0.013706,0.016934,8.0637,1.0000,0,0.4293,0.4293,0.7942,0.066154,312
STATIC-med-s15-seed58,STATIC,med,15.0,8,2,4,2000,medium,58,2000,0.1285,0.1982,0.013711,0.016601,8.1634,1.0000,0,0.4294,0.4294,0.7944,0.066957,365
STATIC-med-s15-seed56,STATIC,med,15.0,8,2,4,2000,medium,56,2000,0.1281,0.1984,0.013560,0.016207,7.9538,1.0000,0,0.4303,0.4303,0.7960,0.065215,353
STATIC-med-s15-seed55,STATIC,med,15.0,8,2,4,2000,medium,55,2000,0.1283,0.1991,0.013897,0.017269,8.1483,1.0000,0,0.4191,0.4191,0.7754,0.066833,320
STATIC-med-s15-seed57,STATIC,med,15.0,8,2,4,2000,medium,57,2000,0.1286,0.1998,0.013725,0.016773,7.9051,1.0000,0,0.4187,0.4187,0.7745,0.064805,336
STATIC-med-s15-seed59,STATIC,med,15.0,8,2,4,2000,medium,59,2000,0.1247,0.1967,0.013504,0.015787,7.9935,1.0000,0,0.4315,0.4315,0.7983,0.065573,375
STATIC-high-s15-seed43,STATIC,high,15.0,8,2,4,2000,medium,43,2000,0.9016,5.6533,0.017033,0.021949,12.6006,0.9640,0,0.3104,0.3104,0.5742,0.097491,257
STATIC-med-s15-seed60,STATIC,med,15.0,8,2,4,2000,medium,60,2000,0.1286,0.1980,0.013673,0.016462,7.8294,1.0000,0,0.4170,0.4170,0.7714,0.064174,266
STATIC-high-s15-seed45,STATIC,high,15.0,8,2,4,2000,medium,45,2000,0.7068,5.0285,0.016554,0.021514,11.6244,0.9875,0,0.3168,0.3168,0.5860,0.090980,309
STATIC-med-s15-seed61,STATIC,med,15.0,8,2,4,2000,medium,61,2000,0.1286,0.2152,0.013548,0.015988,7.7485,1.0000,0,0.4201,0.4201,0.7771,0.063499,304
STATIC-high-s15-seed42,STATIC,high,15.0,8,2,4,2000,medium,42,2000,0.6149,4.0902,0.016645,0.021359,11.9110,1.0000,0,0.3103,0.3103,0.5741,0.094134,333
STATIC-high-s15-seed44,STATIC,high,15.0,8,2,4,2000,medium,44,2000,0.6110,3.9816,0.016609,0.021104,12.1416,0.9990,0,0.3196,0.3196,0.5912,0.096089,333
STATIC-high-s15-seed50,STATIC,high,15.0,8,2,4,2000,medium,50,2000,0.5496,5.3180,0.016308,0.021160,12.2405,0.9870,0,0.3177,0.3177,0.5878,0.097425,326
STATIC-high-s15-seed46,STATIC,high,15.0,8,2,4,2000,medium,46,2000,0.7925,4.4975,0.016907,0.021347,12.5716,0.9980,0,0.3180,0.3180,0.5883,0.098159,388
STATIC-high-s15-seed49,STATIC,high,15.0,8,2,4,2000,medium,49,2000,0.7605,4.7608,0.016660,0.021307,12.6464,0.9975,0,0.3107,0.3107,0.5747,0.099049,379
STATIC-high-s15-seed51,STATIC,high,15.0,8,2,4,2000,medium,51,2000,0.8266,5.1306,0.016838,0.021751,12.0383,0.9805,0,0.3086,0.3086,0.5709,0.093431,350
STATIC-high-s15-seed48,STATIC,high,15.0,8,2,4,2000,medium,48,2000,0.7883,5.1278,0.016695,0.021547,12.7630,0.9875,0,0.3167,0.3167,0.5860,0.099789,371
STATIC-high-s15-seed47,STATIC,high,15.0,8,2,4,2000,medium,47,2000,0.9231,6.7659,0.016759,0.022068,12.6402,0.9440,0,0.3092,0.3092,0.5720,0.097642,405
STATIC-high-s15-seed54,STATIC,high,15.0,8,2,4,2000,medium,54,2000,0.5234,3.3755,0.016439,0.021053,11.5293,1.0000,0,0.3091,0.3091,0.5719,0.091716,339
STATIC-high-s15-seed53,STATIC,high,15.0,8,2,4,2000,medium,53,2000,0.5931,4.2905,0.016520,0.021236,11.5060,1.0000,0,0.3282,0.3282,0.6071,0.090940,318
STATIC-high-s15-seed52,STATIC,high,15.0,8,2,4,2000,medium,52,2000,0.8164,5.0058,0.016896,0.021470,12.4865,0.9895,0,0.3097,0.3097,0.5730,0.097251,334
STATIC-high-s15-seed55,STATIC,high,15.0,8,2,4,2000,medium,55,2000,0.8718,7.6474,0.016898,0.022020,13.1108,0.9580,0,0.3173,0.3173,0.5870,0.101991,321
STATIC-high-s15-seed56,STATIC,high,15.0,8,2,4,2000,medium,56,2000,0.6765,4.3891,0.016816,0.021756,12.2325,0.9920,0,0.3184,0.3184,0.5891,0.096301,330
STATIC-high-s15-seed57,STATIC,high,15.0,8,2,4,2000,medium,57,2000,0.9612,6.9296,0.016953,0.022040,13.2379,0.9360,0,0.3169,0.3169,0.5863,0.102306,356
REACTIVE-med-s15-seed43,REACTIVE,med,15.0,8,2,4,2000,medium,43,2000,0.1613,0.3250,0.012934,0.017114,7.0505,0.9980,565,0.7560,0.1004,1.3985,0.057409,285
STATIC-high-s15-seed58,STATIC,high,15.0,8,2,4,2000,medium,58,2000,0.7209,4.7098,0.016775,0.021545,12.4080,0.9960,0,0.3180,0.3180,0.5883,0.097392,388
STATIC-high-s15-seed60,STATIC,high,15.0,8,2,4,2000,medium,60,2000,1.1843,11.6775,0.016926,0.021967,13.8341,0.9175,0,0.3213,0.3213,0.5943,0.105415,358
STATIC-high-s15-seed61,STATIC,high,15.0,8,2,4,2000,medium,61,2000,0.8779,9.2166,0.016765,0.021528,13.3413,0.9750,0,0.3203,0.3203,0.5926,0.103861,366
STATIC-high-s15-seed59,STATIC,high,15.0,8,2,4,2000,medium,59,2000,0.7187,4.6352,0.016723,0.021537,12.2923,0.9990,0,0.3190,0.3190,0.5902,0.096446,387
REACTIVE-med-s15-seed42,REACTIVE,med,15.0,8,2,4,2000,medium,42,2000,0.1260,0.1949,0.012861,0.016299,6.9825,1.0000,666,0.7701,0.0878,1.4247,0.057137,372
REACTIVE-med-s15-seed44,REACTIVE,med,15.0,8,2,4,2000,medium,44,2000,0.2040,3.1674,0.012850,0.016140,7.1385,0.9980,434,0.7595,0.1021,1.4050,0.057787,241
REACTIVE-med-s15-seed47,REACTIVE,med,15.0,8,2,4,2000,medium,47,2000,0.1672,1.4200,0.012820,0.016166,6.7584,0.9975,452,0.7343,0.0833,1.3585,0.054927,211
REACTIVE-med-s15-seed45,REACTIVE,med,15.0,8,2,4,2000,medium,45,2000,0.1257,0.1946,0.012660,0.014856,6.4551,1.0000,635,0.7607,0.0781,1.4074,0.052745,369
REACTIVE-med-s15-seed48,REACTIVE,med,15.0,8,2,4,2000,medium,48,2000,0.1848,2.6535,0.012823,0.016289,6.7759,0.9980,512,0.7697,0.0668,1.4239,0.054925,374
REACTIVE-med-s15-seed49,REACTIVE,med,15.0,8,2,4,2000,medium,49,2000,0.2026,3.2050,0.012924,0.017020,6.9431,0.9975,585,0.7500,0.0662,1.3875,0.056171,415
REACTIVE-med-s15-seed50,REACTIVE,med,15.0,8,2,4,2000,medium,50,2000,0.1645,1.2210,0.013048,0.016552,7.1242,0.9985,681,0.7118,0.1255,1.3168,0.057997,216
REACTIVE-med-s15-seed55,REACTIVE,med,15.0,8,2,4,2000,medium,55,2000,0.2772,4.5794,0.013050,0.017269,7.1876,0.9950,449,0.7652,0.0725,1.4156,0.057586,225
REACTIVE-med-s15-seed56,REACTIVE,med,15.0,8,2,4,2000,medium,56,2000,0.2079,3.3430,0.012786,0.016174,6.9781,0.9955,656,0.7796,0.0797,1.4423,0.056419,190
REACTIVE-med-s15-seed57,REACTIVE,med,15.0,8,2,4,2000,medium,57,2000,0.1350,0.1963,0.012893,0.016773,6.8283,0.9995,413,0.7378,0.0990,1.3649,0.055778,191
