label,policy,burst,startup_sec,max_pool,min_pool,initial_pool,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,cold_start_violations,active_vm_hours,idle_vm_hours,cost_usd,total_energy_kwh,wall_ms
STATIC-med-s15-seed43,STATIC,med,15.0,8,2,4,2000,medium,43,2000,0.3889,3.5713,0.015670,0.021255,10.5872,1.0000,0,0.2879,0.2879,0.5326,0.084986,234
STATIC-med-s15-seed42,STATIC,med,15.0,8,2,4,2000,medium,42,2000,0.2205,1.9118,0.015411,0.020509,10.1814,1.0000,0,0.2883,0.2883,0.5333,0.083008,268
STATIC-med-s15-seed44,STATIC,med,15.0,8,2,4,2000,medium,44,2000,0.1954,1.8368,0.015346,0.020222,10.2505,1.0000,0,0.2953,0.2953,0.5463,0.083792,269
STATIC-med-s15-seed45,STATIC,med,15.0,8,2,4,2000,medium,45,2000,0.2654,3.1584,0.015169,0.020836,9.9736,1.0000,0,0.2961,0.2961,0.5479,0.080902,268
STATIC-med-s15-seed46,STATIC,med,15.0,8,2,4,2000,medium,46,2000,0.2274,2.2375,0.015372,0.020464,10.2393,1.0000,0,0.2886,0.2886,0.5338,0.083432,232
STATIC-med-s15-seed48,STATIC,med,15.0,8,2,4,2000,medium,48,2000,0.2950,2.6314,0.015503,0.020668,10.1972,1.0000,0,0.2841,0.2841,0.5256,0.082518,237
STATIC-med-s15-seed47,STATIC,med,15.0,8,2,4,2000,medium,47,2000,0.3565,3.0501,0.015648,0.021010,10.4053,1.0000,0,0.2756,0.2756,0.5099,0.083740,244
STATIC-med-s15-seed49,STATIC,med,15.0,8,2,4,2000,medium,49,2000,0.3532,3.2008,0.015648,0.020677,10.4611,1.0000,0,0.2751,0.2751,0.5089,0.084232,250
STATIC-med-s15-seed52,STATIC,med,15.0,8,2,4,2000,medium,52,2000,0.3368,3.2889,0.015635,0.021001,10.6279,1.0000,0,0.2872,0.2872,0.5314,0.085759,210
STATIC-med-s15-seed51,STATIC,med,15.0,8,2,4,2000,medium,51,2000,0.2048,1.7588,0.015298,0.020367,10.0334,1.0000,0,0.2888,0.2888,0.5342,0.081905,245
STATIC-med-s15-seed50,STATIC,med,15.0,8,2,4,2000,medium,50,2000,0.2583,2.6583,0.015363,0.020563,10.0697,1.0000,0,0.2841,0.2841,0.5255,0.081761,243
STATIC-med-s15-seed53,STATIC,med,15.0,8,2,4,2000,medium,53,2000,0.2371,2.1229,0.015408,0.020488,10.2311,1.0000,0,0.2957,0.2957,0.5471,0.083284,250
STATIC-med-s15-seed55,STATIC,med,15.0,8,2,4,2000,medium,55,2000,0.3329,3.8757,0.015519,0.021299,10.2412,0.9995,0,0.2841,0.2841,0.5256,0.082569,226
STATIC-med-s15-seed56,STATIC,med,15.0,8,2,4,2000,medium,56,2000,0.2736,2.8220,0.015505,0.020875,10.3969,1.0000,0,0.2886,0.2886,0.5340,0.084361,227
STATIC-med-s15-seed54,STATIC,med,15.0,8,2,4,2000,medium,54,2000,0.1371,0.5208,0.014971,0.019504,9.6225,1.0000,0,0.2881,0.2881,0.5331,0.079045,231
STATIC-med-s15-seed57,STATIC,med,15.0,8,2,4,2000,medium,57,2000,0.5217,4.2616,0.015857,0.021355,10.8014,0.9980,0,0.2840,0.2840,0.5254,0.085664,234
STATIC-med-s15-seed58,STATIC,med,15.0,8,2,4,2000,medium,58,2000,0.3256,3.1329,0.015551,0.020887,10.5029,1.0000,0,0.2873,0.2873,0.5314,0.084811,222
STATIC-med-s15-seed61,STATIC,med,15.0,8,2,4,2000,medium,61,2000,0.2778,2.6014,0.015583,0.021077,10.3581,1.0000,0,0.2856,0.2856,0.5283,0.084002,233
STATIC-med-s15-seed59,STATIC,med,15.0,8,2,4,2000,medium,59,2000,0.1605,1.2320,0.015213,0.020234,9.9913,1.0000,0,0.2953,0.2953,0.5463,0.081924,248
STATIC-med-s15-seed60,STATIC,med,15.0,8,2,4,2000,medium,60,2000,0.2536,2.5931,0.015471,0.020861,10.1501,1.0000,0,0.2775,0.2775,0.5134,0.082471,252
STATIC-high-s15-seed42,STATIC,high,15.0,8,2,4,2000,medium,42,2000,5.6346,18.7337,0.020447,0.026451,20.2452,0.5480,0,0.2167,0.2167,0.4009,0.121754,212
STATIC-high-s15-seed45,STATIC,high,15.0,8,2,4,2000,medium,45,2000,4.6900,17.7585,0.019831,0.026036,18.6318,0.5945,0,0.2091,0.2091,0.3869,0.116182,267
STATIC-high-s15-seed44,STATIC,high,15.0,8,2,4,2000,medium,44,2000,5.4481,18.2132,0.020595,0.026126,20.3440,0.5430,0,0.2184,0.2184,0.4041,0.124133,269
STATIC-high-s15-seed43,STATIC,high,15.0,8,2,4,2000,medium,43,2000,5.9452,20.3323,0.020661,0.026805,20.5832,0.5380,0,0.2091,0.2091,0.3869,0.121983,269
STATIC-high-s15-seed46,STATIC,high,15.0,8,2,4,2000,medium,46,2000,5.3187,17.7547,0.020355,0.026129,19.9840,0.5495,0,0.2182,0.2182,0.4036,0.122211,249
STATIC-high-s15-seed48,STATIC,high,15.0,8,2,4,2000,medium,48,2000,6.1142,19.8752,0.020783,0.026740,21.3970,0.5155,0,0.2088,0.2088,0.3863,0.127357,249
STATIC-high-s15-seed47,STATIC,high,15.0,8,2,4,2000,medium,47,2000,6.2507,19.2267,0.020785,0.026601,21.2393,0.4945,0,0.2071,0.2071,0.3832,0.124905,250
STATIC-high-s15-seed49,STATIC,high,15.0,8,2,4,2000,medium,49,2000,7.6072,21.7206,0.021377,0.027434,23.5344,0.4610,0,0.2173,0.2173,0.4021,0.132727,252
STATIC-high-s15-seed51,STATIC,high,15.0,8,2,4,2000,medium,51,2000,5.1211,18.0085,0.020156,0.026323,19.4669,0.5695,0,0.2189,0.2189,0.4050,0.119548,234
STATIC-high-s15-seed52,STATIC,high,15.0,8,2,4,2000,medium,52,2000,5.9747,19.2796,0.020584,0.026395,20.7468,0.5200,0,0.2100,0.2100,0.3884,0.123100,246
STATIC-high-s15-seed53,STATIC,high,15.0,8,2,4,2000,medium,53,2000,5.1215,17.3344,0.020196,0.026058,19.2756,0.5570,0,0.2198,0.2198,0.4067,0.117951,265
STATIC-high-s15-seed50,STATIC,high,15.0,8,2,4,2000,medium,50,2000,7.5581,21.8807,0.021631,0.027224,24.0083,0.4350,0,0.2183,0.2183,0.4039,0.137085,269
STATIC-high-s15-seed55,STATIC,high,15.0,8,2,4,2000,medium,55,2000,7.2804,21.6507,0.021562,0.027538,23.4168,0.4680,0,0.2099,0.2099,0.3884,0.134470,280
STATIC-high-s15-seed54,STATIC,high,15.0,8,2,4,2000,medium,54,2000,5.3261,18.0259,0.020260,0.025969,19.7404,0.5615,0,0.2091,0.2091,0.3869,0.120120,257
STATIC-high-s15-seed57,STATIC,high,15.0,8,2,4,2000,medium,57,2000,7.2158,22.4784,0.021418,0.027814,23.1422,0.4735,0,0.2168,0.2168,0.4012,0.132720,279
STATIC-high-s15-seed56,STATIC,high,15.0,8,2,4,2000,medium,56,2000,6.3245,21.4674,0.020899,0.027705,21.3888,0.5245,0,0.2180,0.2180,0.4033,0.125536,291
STATIC-high-s15-seed61,STATIC,high,15.0,8,2,4,2000,medium,61,2000,6.6698,21.8577,0.021164,0.027385,22.5076,0.4870,0,0.2168,0.2168,0.4011,0.131982,245
STATIC-high-s15-seed60,STATIC,high,15.0,8,2,4,2000,medium,60,2000,6.3585,20.7138,0.020718,0.027543,22.2926,0.5150,0,0.2210,0.2210,0.4089,0.132784,266
STATIC-high-s15-seed58,STATIC,high,15.0,8,2,4,2000,medium,58,2000,5.6153,18.3690,0.020749,0.026709,20.6436,0.5310,0,0.2095,0.2095,0.3875,0.125236,289
STATIC-high-s15-seed59,STATIC,high,15.0,8,2,4,2000,medium,59,2000,5.0932,17.7861,0.020070,0.026190,19.4155,0.5665,0,0.2186,0.2186,0.4044,0.119352,289
REACTIVE-med-s15-seed44,REACTIVE,med,15.0,8,2,4,2000,medium,44,2000,0.1449,0.9486,0.013776,0.019921,8.0857,1.0000,190,0.5514,0.0254,1.0202,0.066174,217
REACTIVE-med-s15-seed45,REACTIVE,med,15.0,8,2,4,2000,medium,45,2000,0.1269,0.1972,0.013492,0.018259,7.6882,1.0000,201,0.5629,0.0271,1.0414,0.063011,241
REACTIVE-med-s15-seed43,REACTIVE,med,15.0,8,2,4,2000,medium,43,2000,0.3329,3.5713,0.014142,0.021245,8.5435,1.0000,233,0.5471,0.0261,1.0122,0.068422,238
REACTIVE-med-s15-seed42,REACTIVE,med,15.0,8,2,4,2000,medium,42,2000,0.1845,1.7485,0.013856,0.020471,8.1099,1.0000,209,0.5491,0.0251,1.0159,0.066045,248
REACTIVE-med-s15-seed48,REACTIVE,med,15.0,8,2,4,2000,medium,48,2000,0.1978,1.9916,0.013909,0.020550,8.0684,1.0000,223,0.5415,0.0253,1.0018,0.065589,233
REACTIVE-med-s15-seed46,REACTIVE,med,15.0,8,2,4,2000,medium,46,2000,0.1503,1.1231,0.013784,0.019702,8.0709,1.0000,212,0.5479,0.0262,1.0136,0.066005,249
REACTIVE-med-s15-seed49,REACTIVE,med,15.0,8,2,4,2000,medium,49,2000,0.2534,3.1034,0.014008,0.020551,8.2758,1.0000,211,0.5243,0.0247,0.9699,0.066854,238
REACTIVE-med-s15-seed47,REACTIVE,med,15.0,8,2,4,2000,medium,47,2000,0.2003,1.8880,0.013961,0.020352,8.1656,1.0000,228,0.5259,0.0250,0.9729,0.066377,240
REACTIVE-med-s15-seed51,REACTIVE,med,15.0,8,2,4,2000,medium,51,2000,0.1448,0.8189,0.013701,0.019398,7.8968,1.0000,210,0.5501,0.0253,1.0177,0.064601,220
REACTIVE-med-s15-seed52,REACTIVE,med,15.0,8,2,4,2000,medium,52,2000,0.1616,1.5251,0.013884,0.020079,8.2224,1.0000,212,0.5468,0.0261,1.0116,0.067173,215
REACTIVE-med-s15-seed53,REACTIVE,med,15.0,8,2,4,2000,medium,53,2000,0.1882,2.0742,0.013840,0.020323,8.1346,1.0000,291,0.5559,0.0340,1.0283,0.066220,230
REACTIVE-med-s15-seed50,REACTIVE,med,15.0,8,2,4,2000,medium,50,2000,0.2423,2.6583,0.013895,0.020563,8.1492,1.0000,210,0.5321,0.0233,0.9843,0.065891,229
REACTIVE-med-s15-seed56,REACTIVE,med,15.0,8,2,4,2000,medium,56,2000,0.1749,1.9121,0.013883,0.020591,8.1934,1.0000,221,0.5502,0.0253,1.0179,0.066821,230
REACTIVE-med-s15-seed54,REACTIVE,med,15.0,8,2,4,2000,medium,54,2000,0.1343,0.5208,0.013624,0.019478,7.8177,1.0000,186,0.5480,0.0262,1.0137,0.064029,228
REACTIVE-med-s15-seed55,REACTIVE,med,15.0,8,2,4,2000,medium,55,2000,0.3130,3.8757,0.014043,0.021272,8.3318,0.9995,196,0.5419,0.0254,1.0025,0.066824,244
REACTIVE-med-s15-seed57,REACTIVE,med,15.0,8,2,4,2000,medium,57,2000,0.3636,4.2616,0.014199,0.021324,8.5678,0.9980,232,0.5420,0.0254,1.0027,0.068368,241
REACTIVE-med-s15-seed58,REACTIVE,med,15.0,8,2,4,2000,medium,58,2000,0.1856,1.8551,0.013886,0.020080,8.1951,1.0000,205,0.5463,0.0260,1.0107,0.066746,200
REACTIVE-med-s15-seed60,REACTIVE,med,15.0,8,2,4,2000,medium,60,2000,0.1403,0.6056,0.013732,0.019766,7.8498,1.0000,191,0.5307,0.0233,0.9819,0.064245,233
REACTIVE-med-s15-seed59,REACTIVE,med,15.0,8,2,4,2000,medium,59,2000,0.1524,1.2320,0.013768,0.020226,8.0617,1.0000,310,0.5462,0.0307,1.0105,0.065910,256
REACTIVE-med-s15-seed61,REACTIVE,med,15.0,8,2,4,2000,medium,61,2000,0.1809,1.9861,0.013925,0.020267,8.1466,1.0000,326,0.5349,0.0336,0.9896,0.066380,252
REACTIVE-high-s15-seed42,REACTIVE,high,15.0,8,2,4,2000,medium,42,2000,2.6084,17.7796,0.017130,0.026252,13.8109,0.7945,331,0.3957,0.0254,0.7321,0.093354,218
REACTIVE-high-s15-seed43,REACTIVE,high,15.0,8,2,4,2000,medium,43,2000,3.2058,20.1126,0.017350,0.026519,14.4235,0.7720,338,0.3919,0.0261,0.7250,0.093481,223
REACTIVE-high-s15-seed45,REACTIVE,high,15.0,8,2,4,2000,medium,45,2000,1.6662,13.1000,0.016434,0.024457,12.1496,0.8470,317,0.3929,0.0250,0.7268,0.087362,215
REACTIVE-high-s15-seed44,REACTIVE,high,15.0,8,2,4,2000,medium,44,2000,2.5154,18.0338,0.017003,0.025868,13.6354,0.8005,439,0.4031,0.0325,0.7457,0.092667,234
REACTIVE-high-s15-seed46,REACTIVE,high,15.0,8,2,4,2000,medium,46,2000,2.3387,17.2888,0.016869,0.025527,13.3824,0.8090,323,0.4081,0.0272,0.7551,0.092031,215
REACTIVE-high-s15-seed47,REACTIVE,high,15.0,8,2,4,2000,medium,47,2000,2.9153,18.9702,0.017371,0.026199,14.2605,0.7740,351,0.3490,0.0251,0.6457,0.094543,229
REACTIVE-high-s15-seed48,REACTIVE,high,15.0,8,2,4,2000,medium,48,2000,2.8601,19.6191,0.017327,0.026291,14.1963,0.7845,356,0.3717,0.0264,0.6877,0.094469,234
REACTIVE-high-s15-seed49,REACTIVE,high,15.0,8,2,4,2000,medium,49,2000,3.3158,21.3201,0.017823,0.027061,15.1510,0.7655,356,0.3497,0.0252,0.6469,0.098626,238
REACTIVE-high-s15-seed50,REACTIVE,high,15.0,8,2,4,2000,medium,50,2000,3.3536,21.4333,0.018230,0.026726,15.7079,0.7620,831,0.3665,0.0317,0.6781,0.102953,241
REACTIVE-high-s15-seed51,REACTIVE,high,15.0,8,2,4,2000,medium,51,2000,2.1153,16.0885,0.016795,0.025127,13.0377,0.8160,314,0.4091,0.0273,0.7568,0.091020,263
REACTIVE-high-s15-seed52,REACTIVE,high,15.0,8,2,4,2000,medium,52,2000,2.5998,18.6662,0.017106,0.026131,13.8654,0.7990,331,0.3917,0.0261,0.7246,0.093880,260
REACTIVE-high-s15-seed53,REACTIVE,high,15.0,8,2,4,2000,medium,53,2000,2.3951,17.1797,0.016938,0.025828,13.2819,0.8065,399,0.4064,0.0330,0.7518,0.090724,252
REACTIVE-high-s15-seed54,REACTIVE,high,15.0,8,2,4,2000,medium,54,2000,2.2634,16.9230,0.016937,0.025299,13.2958,0.8095,335,0.3909,0.0260,0.7232,0.091936,196
REACTIVE-high-s15-seed55,REACTIVE,high,15.0,8,2,4,2000,medium,55,2000,3.4643,21.2555,0.017837,0.027217,15.2793,0.7605,338,0.3731,0.0266,0.6903,0.098458,226
REACTIVE-high-s15-seed56,REACTIVE,high,15.0,8,2,4,2000,medium,56,2000,2.5453,18.7161,0.017260,0.026052,13.9284,0.8010,336,0.4073,0.0271,0.7535,0.094859,224
REACTIVE-high-s15-seed57,REACTIVE,high,15.0,8,2,4,2000,medium,57,2000,3.5723,22.1290,0.017817,0.027655,15.3364,0.7625,354,0.3835,0.0281,0.7094,0.098034,226
REACTIVE-high-s15-seed60,REACTIVE,high,15.0,8,2,4,2000,medium,60,2000,2.0408,15.2329,0.017041,0.024958,13.2262,0.8220,315,0.3679,0.0259,0.6807,0.093212,224
REACTIVE-high-s15-seed58,REACTIVE,high,15.0,8,2,4,2000,medium,58,2000,2.4097,17.1198,0.017005,0.025800,13.5876,0.8020,324,0.3887,0.0257,0.7190,0.093149,240
REACTIVE-high-s15-seed59,REACTIVE,high,15.0,8,2,4,2000,medium,59,2000,2.2736,16.8236,0.016798,0.025637,13.1715,0.8090,323,0.4086,0.0273,0.7559,0.090816,242
REACTIVE-high-s15-seed61,REACTIVE,high,15.0,8,2,4,2000,medium,61,2000,3.2665,21.5378,0.017516,0.027121,14.8034,0.7685,372,0.3858,0.0272,0.7138,0.096141,245
PREDICTIVE-med-s15-seed44,PREDICTIVE,med,15.0,8,2,4,2000,medium,44,2000,0.1449,0.9486,0.013776,0.019921,8.0857,1.0000,190,0.5520,0.0249,1.0212,0.066174,235
PREDICTIVE-med-s15-seed43,PREDICTIVE,med,15.0,8,2,4,2000,medium,43,2000,0.3329,3.5713,0.014142,0.021245,8.5435,1.0000,233,0.5482,0.0250,1.0142,0.068422,242
PREDICTIVE-med-s15-seed42,PREDICTIVE,med,15.0,8,2,4,2000,medium,42,2000,0.1845,1.7485,0.013856,0.020471,8.1099,1.0000,209,0.5491,0.0251,1.0159,0.066045,230
PREDICTIVE-med-s15-seed45,PREDICTIVE,med,15.0,8,2,4,2000,medium,45,2000,0.1269,0.1972,0.013492,0.018259,7.6882,1.0000,201,0.5635,0.0265,1.0424,0.063011,227
PREDICTIVE-med-s15-seed47,PREDICTIVE,med,15.0,8,2,4,2000,medium,47,2000,0.2003,1.8880,0.013961,0.020352,8.1656,1.0000,228,0.5259,0.0250,0.9729,0.066377,223
PREDICTIVE-med-s15-seed46,PREDICTIVE,med,15.0,8,2,4,2000,medium,46,2000,0.1503,1.1231,0.013784,0.019702,8.0709,1.0000,212,0.5490,0.0251,1.0157,0.066005,224
PREDICTIVE-med-s15-seed49,PREDICTIVE,med,15.0,8,2,4,2000,medium,49,2000,0.2534,3.1034,0.014008,0.020551,8.2758,1.0000,211,0.5243,0.0247,0.9699,0.066854,221
PREDICTIVE-med-s15-seed48,PREDICTIVE,med,15.0,8,2,4,2000,medium,48,2000,0.1978,1.9916,0.013909,0.020550,8.0684,1.0000,223,0.5415,0.0253,1.0018,0.065589,224
PREDICTIVE-med-s15-seed50,PREDICTIVE,med,15.0,8,2,4,2000,medium,50,2000,0.2423,2.6583,0.013895,0.020563,8.1492,1.0000,210,0.5321,0.0233,0.9843,0.065891,193
PREDICTIVE-med-s15-seed52,PREDICTIVE,med,15.0,8,2,4,2000,medium,52,2000,0.1616,1.5251,0.013884,0.020079,8.2224,1.0000,212,0.5479,0.0249,1.0136,0.067173,217
PREDICTIVE-med-s15-seed53,PREDICTIVE,med,15.0,8,2,4,2000,medium,53,2000,0.1884,2.0742,0.013833,0.020323,8.1242,1.0000,210,0.5633,0.0265,1.0422,0.066132,229
PREDICTIVE-med-s15-seed51,PREDICTIVE,med,15.0,8,2,4,2000,medium,51,2000,0.1448,0.8189,0.013701,0.019398,7.8968,1.0000,210,0.5501,0.0253,1.0177,0.064601,254
PREDICTIVE-med-s15-seed56,PREDICTIVE,med,15.0,8,2,4,2000,medium,56,2000,0.1749,1.9121,0.013883,0.020591,8.1934,1.0000,221,0.5502,0.0253,1.0179,0.066821,241
PREDICTIVE-med-s15-seed54,PREDICTIVE,med,15.0,8,2,4,2000,medium,54,2000,0.1343,0.5208,0.013624,0.019478,7.8177,1.0000,186,0.5491,0.0251,1.0158,0.064029,248
PREDICTIVE-med-s15-seed55,PREDICTIVE,med,15.0,8,2,4,2000,medium,55,2000,0.3130,3.8757,0.014043,0.021272,8.3318,0.9995,196,0.5419,0.0254,1.0025,0.066824,263
PREDICTIVE-med-s15-seed57,PREDICTIVE,med,15.0,8,2,4,2000,medium,57,2000,0.3636,4.2616,0.014199,0.021324,8.5678,0.9980,232,0.5420,0.0254,1.0027,0.068368,244
PREDICTIVE-med-s15-seed59,PREDICTIVE,med,15.0,8,2,4,2000,medium,59,2000,0.1524,1.2320,0.013760,0.020226,8.0511,1.0000,209,0.5520,0.0249,1.0213,0.065823,212
PREDICTIVE-med-s15-seed58,PREDICTIVE,med,15.0,8,2,4,2000,medium,58,2000,0.1856,1.8551,0.013886,0.020080,8.1951,1.0000,205,0.5469,0.0254,1.0117,0.066746,208
PREDICTIVE-med-s15-seed61,PREDICTIVE,med,15.0,8,2,4,2000,medium,61,2000,0.1809,1.9861,0.013915,0.020267,8.1340,1.0000,223,0.5430,0.0255,1.0045,0.066276,260
PREDICTIVE-med-s15-seed60,PREDICTIVE,med,15.0,8,2,4,2000,medium,60,2000,0.1403,0.6056,0.013732,0.019766,7.8498,1.0000,191,0.5307,0.0233,0.9819,0.064245,263
PREDICTIVE-high-s15-seed42,PREDICTIVE,high,15.0,8,2,4,2000,medium,42,2000,2.6084,17.7796,0.017130,0.026252,13.8109,0.7945,331,0.3957,0.0254,0.7321,0.093354,210
