label,config,routing,requests,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,joules_per_token,wall_ms
tp1x8-ROUND_ROBIN-r20-s51,tp1x8,ROUND_ROBIN,3000,51,3000,25.4202,71.0783,0.078445,0.086653,60.4754,0.0680,0.071775,0.2840,331
tp1x8-ROUND_ROBIN-r20-s53,tp1x8,ROUND_ROBIN,3000,53,3000,24.4289,65.4353,0.079419,0.086653,59.3860,0.0503,0.072024,0.2908,316
tp1x8-ROUND_ROBIN-r20-s56,tp1x8,ROUND_ROBIN,3000,56,3000,19.3698,55.5520,0.077665,0.086653,52.9179,0.0770,0.074860,0.3076,307
tp1x8-ROUND_ROBIN-r20-s55,tp1x8,ROUND_ROBIN,3000,55,3000,24.9399,63.1455,0.079318,0.086653,59.5020,0.0527,0.069253,0.2792,346
tp1x8-ROUND_ROBIN-r20-s54,tp1x8,ROUND_ROBIN,3000,54,3000,24.5950,68.4142,0.078427,0.086653,58.9891,0.0660,0.071763,0.2902,344
tp1x8-ROUND_ROBIN-r20-s57,tp1x8,ROUND_ROBIN,3000,57,3000,25.3316,64.4166,0.078878,0.086653,60.0318,0.0593,0.069401,0.2773,354
tp1x8-ROUND_ROBIN-r20-s61,tp1x8,ROUND_ROBIN,3000,61,3000,24.0564,58.5919,0.079624,0.086653,58.8009,0.0473,0.070416,0.2864,366
tp1x8-ROUND_ROBIN-r20-s58,tp1x8,ROUND_ROBIN,3000,58,3000,25.5030,66.3202,0.079933,0.086653,60.3748,0.0457,0.071271,0.2887,392
tp1x8-ROUND_ROBIN-r20-s59,tp1x8,ROUND_ROBIN,3000,59,3000,22.8606,61.0743,0.078474,0.086653,57.1110,0.0703,0.071651,0.2885,378
tp1x8-ROUND_ROBIN-r20-s60,tp1x8,ROUND_ROBIN,3000,60,3000,23.5912,62.6743,0.078145,0.086653,57.1580,0.0753,0.069221,0.2834,399
tp1x8-ROUND_ROBIN-r30-s44,tp1x8,ROUND_ROBIN,4500,44,4500,81.6126,180.0138,0.083874,0.086653,118.2408,0.0067,0.055700,0.1507,449
tp1x8-ROUND_ROBIN-r30-s42,tp1x8,ROUND_ROBIN,4500,42,4500,82.8688,183.5163,0.083707,0.086653,120.2853,0.0096,0.056401,0.1491,466
tp1x8-ROUND_ROBIN-r30-s45,tp1x8,ROUND_ROBIN,4500,45,4500,81.7475,181.8784,0.083485,0.086653,118.6993,0.0116,0.056232,0.1510,453
tp1x8-ROUND_ROBIN-r30-s43,tp1x8,ROUND_ROBIN,4500,43,4500,79.5867,172.6703,0.084023,0.086653,116.2973,0.0069,0.056129,0.1501,474
tp1x8-ROUND_ROBIN-r30-s46,tp1x8,ROUND_ROBIN,4500,46,4500,78.1145,174.5832,0.084004,0.086653,114.7832,0.0044,0.056981,0.1541,480
tp1x8-ROUND_ROBIN-r30-s47,tp1x8,ROUND_ROBIN,4500,47,4500,79.7002,177.6343,0.084010,0.086653,116.5843,0.0051,0.057446,0.1539,481
tp1x8-ROUND_ROBIN-r30-s48,tp1x8,ROUND_ROBIN,4500,48,4500,79.5297,179.9252,0.084042,0.086653,116.3265,0.0040,0.057121,0.1535,482
tp1x8-ROUND_ROBIN-r30-s49,tp1x8,ROUND_ROBIN,4500,49,4500,82.1335,180.5615,0.083896,0.086653,119.4806,0.0071,0.057313,0.1520,482
tp1x8-ROUND_ROBIN-r30-s52,tp1x8,ROUND_ROBIN,4500,52,4500,81.0841,175.8147,0.083960,0.086653,118.2891,0.0053,0.056778,0.1509,452
tp1x8-ROUND_ROBIN-r30-s50,tp1x8,ROUND_ROBIN,4500,50,4500,80.7225,182.8049,0.083997,0.086653,117.6544,0.0064,0.058317,0.1579,465
tp1x8-ROUND_ROBIN-r30-s51,tp1x8,ROUND_ROBIN,4500,51,4500,82.4027,186.0317,0.083602,0.086653,119.8778,0.0118,0.057549,0.1518,461
tp1x8-ROUND_ROBIN-r30-s53,tp1x8,ROUND_ROBIN,4500,53,4500,79.4868,176.1116,0.083971,0.086653,116.1857,0.0053,0.056377,0.1524,500
tp1x8-ROUND_ROBIN-r30-s55,tp1x8,ROUND_ROBIN,4500,55,4500,79.7992,177.0604,0.084030,0.086653,116.5479,0.0058,0.056022,0.1509,468
