timestamp_unix_ms,gpu,power_w,mem_used_mib,sm_util_pct
1783316729554,0,8.36,13087,0
1783316729755,0,8.36,13087,0
1783316729955,0,8.36,13087,0
1783316730155,0,8.55,13087,100
1783316730355,0,8.55,13087,100
1783316730555,0,10.9,13087,100
1783316730756,0,10.9,13087,100
1783316730956,0,10.9,13087,100
1783316731156,0,16.12,13087,100
1783316731356,0,16.12,13087,100
1783316731556,0,15.7,13087,100
1783316731756,0,15.7,13087,100
1783316731957,0,15.7,13087,100
1783316732157,0,15.71,13087,100
1783316732357,0,15.71,13087,100
1783316732557,0,15.71,13087,100
1783316732757,0,15.71,13087,100
1783316732958,0,15.71,13087,100
1783316733158,0,15.72,13087,100
1783316733358,0,15.72,13087,100
1783316733558,0,15.76,13087,100
1783316733759,0,15.76,13087,100
1783316733959,0,15.76,13087,100
1783316734159,0,15.77,13087,100
1783316734359,0,15.77,13087,100
1783316734559,0,15.77,13087,100
1783316734759,0,15.78,13087,100
1783316734959,0,15.78,13087,100
1783316735160,0,15.78,13087,100
1783316735360,0,15.78,13087,100
1783316735560,0,15.78,13087,100
1783316735760,0,15.79,13087,100
1783316735960,0,15.79,13087,100
1783316736161,0,15.78,13087,100
1783316736361,0,15.78,13087,100
1783316736561,0,15.78,13087,100
1783316736761,0,15.78,13087,100
1783316736961,0,15.78,13087,100
1783316737161,0,15.8,13087,100
1783316737362,0,15.8,13087,100
1783316737562,0,15.8,13087,100
1783316737762,0,15.81,13087,100
1783316737962,0,15.81,13087,100
1783316738162,0,15.85,13087,100
1783316738362,0,15.85,13087,100
1783316738562,0,15.85,13087,100
1783316738763,0,15.85,13087,100
1783316738963,0,15.85,13087,100
1783316739163,0,15.86,13087,100
1783316739363,0,15.86,13087,100
1783316739563,0,15.86,13087,100
1783316739763,0,15.88,13087,100
1783316739964,0,15.88,13087,100
1783316740164,0,15.89,13087,100
1783316740364,0,15.89,13087,100
1783316740564,0,15.89,13087,100
1783316740764,0,15.89,13087,100
1783316740964,0,15.89,13087,100
1783316741165,0,15.89,13087,100
1783316741365,0,15.89,13087,100
1783316741565,0,15.89,13087,100
1783316741765,0,15.51,13087,100
1783316741965,0,15.51,13087,100
1783316742165,0,15.57,13087,100
1783316742366,0,15.57,13087,100
1783316742566,0,15.57,13087,100
1783316742766,0,15.9,13087,100
1783316742966,0,15.9,13087,100
1783316743166,0,15.9,13087,100
1783316743366,0,15.9,13087,100
1783316743567,0,15.9,13087,100
1783316743767,0,15.92,13087,100
1783316743967,0,15.92,13087,100
1783316744167,0,15.93,13087,100
1783316744367,0,15.93,13087,100
1783316744567,0,15.93,13087,100
1783316744767,0,15.93,13087,100
1783316744968,0,15.93,13087,100
1783316745168,0,15.93,13087,100
1783316745368,0,15.93,13087,100
1783316745568,0,15.93,13087,100
1783316745768,0,15.91,13087,100
1783316745968,0,15.91,13087,100
1783316746168,0,15.93,13087,100
1783316746368,0,15.93,13087,100
1783316746569,0,15.93,13087,100
1783316746769,0,15.94,13087,100
1783316746969,0,15.94,13087,100
1783316747169,0,15.94,13087,100
1783316747369,0,15.94,13087,100
1783316747569,0,15.94,13087,100
1783316747769,0,15.97,13087,100
1783316747969,0,15.97,13087,100
1783316748170,0,15.99,13087,100
1783316748370,0,15.99,13087,100
1783316748570,0,15.99,13087,100
1783316748770,0,15.99,13087,100
1783316748970,0,15.99,13087,100
1783316749170,0,16.0,13087,100
1783316749370,0,16.0,13087,100
1783316749571,0,16.0,13087,100
1783316749771,0,16.0,13087,100
1783316749971,0,16.0,13087,100
1783316750171,0,15.99,13087,100
1783316750371,0,15.99,13087,100
1783316750571,0,15.99,13087,100
1783316750772,0,16.0,13087,100
1783316750972,0,16.0,13087,100
1783316751172,0,16.03,13087,100
1783316751372,0,16.03,13087,100
1783316751601,0,16.03,13087,100
1783316751802,0,16.06,13087,100
1783316752002,0,16.06,13087,100
1783316752202,0,16.15,13087,100
1783316752402,0,16.15,13087,100
1783316752602,0,16.15,13087,100
1783316752803,0,16.08,13087,100
1783316753003,0,16.08,13087,100
