id,input_len,output_len,ttft_sec,tpot_sec,e2e_sec,energy_j,carbon_g,ttft_ok,tpot_ok
1150,312,64,0.033537,0.011871,0.880175,12.091049,0.001468,true,true
1147,337,131,0.035068,0.011827,1.768543,24.756194,0.003005,true,true
1148,280,124,0.041200,0.011873,1.667546,23.226255,0.002819,true,true
1153,277,84,0.041061,0.011892,1.049746,14.405280,0.001749,true,true
1152,141,116,0.021941,0.011882,1.477676,20.789721,0.002524,true,true
1149,329,189,0.036919,0.011864,2.436967,34.275683,0.004161,true,true
1154,187,142,0.027648,0.011859,1.737751,24.422416,0.002965,true,true
1151,278,186,0.032655,0.011863,2.334269,32.869928,0.003990,true,true
1156,263,87,0.036313,0.011805,1.137862,15.731508,0.001910,true,true
1155,369,189,0.045865,0.011820,2.411118,33.778768,0.004100,true,true
1157,326,111,0.039616,0.011827,1.421129,19.729726,0.002395,true,true
1159,150,131,0.028525,0.011844,1.719105,24.143600,0.002931,true,true
1160,262,121,0.039874,0.011848,1.584063,22.052957,0.002677,true,true
1158,323,158,0.042288,0.011850,2.071892,28.985286,0.003518,true,true
1161,416,79,0.049194,0.011874,1.055671,14.373749,0.001745,true,true
1162,484,88,0.050883,0.011864,1.115141,15.198926,0.001845,true,true
1163,304,169,0.038207,0.011810,2.065604,28.953765,0.003515,true,true
1164,429,122,0.052920,0.011776,1.511884,20.835823,0.002529,true,true
1165,326,171,0.037015,0.011770,2.085572,29.255947,0.003551,true,true
1168,330,72,0.035785,0.011852,0.954096,13.114640,0.001592,true,true
1169,392,101,0.045827,0.011871,1.269739,17.478990,0.002122,true,true
1170,357,108,0.042276,0.011868,1.312194,18.136011,0.002202,true,true
1166,479,185,0.058346,0.011837,2.374795,33.081795,0.004016,true,true
1167,248,185,0.037553,0.011832,2.349868,33.022742,0.004009,true,true
1171,213,118,0.035716,0.011762,1.526611,21.291848,0.002585,true,true
1172,192,74,0.029729,0.011802,0.983888,13.626586,0.001654,true,true
1174,449,101,0.051773,0.011819,1.261841,17.281275,0.002098,true,true
1173,477,175,0.048741,0.011805,2.176018,30.380172,0.003688,true,true
1175,260,145,0.032527,0.011788,1.783951,25.012537,0.003036,true,true
1176,162,86,0.023027,0.011765,1.057588,14.774825,0.001793,true,true
1177,331,147,0.035293,0.011770,1.793872,25.114714,0.003049,true,true
1178,394,181,0.045326,0.011784,2.249530,31.478791,0.003821,true,true
1180,204,101,0.027688,0.011804,1.251057,17.471249,0.002121,true,true
1181,426,89,0.053298,0.011804,1.092019,14.834230,0.001801,true,true
1179,134,171,0.017130,0.011786,2.128994,30.160049,0.003661,true,true
1182,416,89,0.050585,0.011764,1.126722,15.368589,0.001866,true,true
1183,402,152,0.050013,0.011788,2.038726,28.401306,0.003448,true,true
1184,263,162,0.038158,0.011883,2.148884,30.143805,0.003659,true,true
1188,297,124,0.100139,0.011924,1.584116,21.193046,0.002573,true,true
1189,371,132,0.074839,0.011923,1.654013,22.552576,0.002738,true,true
1186,269,167,0.053239,0.011910,2.186570,30.466634,0.003698,true,true
1187,439,166,0.055239,0.011910,2.132583,29.667069,0.003601,true,true
1185,420,185,0.043338,0.011902,2.457421,34.476124,0.004185,true,true
1190,138,150,0.027740,0.011852,1.862773,26.206568,0.003181,true,true
1192,379,89,0.045826,0.011793,1.083633,14.821171,0.001799,true,true
1191,283,143,0.041284,0.011781,1.752962,24.444907,0.002967,true,true
1193,244,98,0.026770,0.011778,1.250660,17.478676,0.002122,true,true
1194,508,177,0.050874,0.011812,2.270799,31.703307,0.003848,true,true
1195,292,132,0.033072,0.011832,1.693089,23.707119,0.002878,true,true
1196,437,86,0.049911,0.011851,1.123309,15.329455,0.001861,true,true
1197,236,168,0.031025,0.011853,2.242126,31.577288,0.003833,true,true
1201,396,71,0.047542,0.011937,0.945869,12.829231,0.001557,true,true
1202,230,78,0.037130,0.011936,0.993381,13.656463,0.001658,true,true
1198,392,159,0.047662,0.011873,2.115309,29.528596,0.003584,true,true
1203,361,76,0.038102,0.011932,0.932991,12.780134,0.001551,true,true
1199,391,104,0.041486,0.011912,1.420312,19.691355,0.002390,true,true
1200,491,167,0.056394,0.011875,2.216811,30.853450,0.003745,true,true
1204,488,114,0.048851,0.011872,1.631457,22.601595,0.002744,true,true
1206,191,71,0.023543,0.011908,1.038523,14.495184,0.001760,true,true
1209,260,87,0.036761,0.011937,1.139798,15.752744,0.001912,true,true
1210,325,76,0.045876,0.011941,0.983915,13.396371,0.001626,true,true
1205,365,165,0.044364,0.011895,2.244464,31.420180,0.003814,true,true
1211,420,118,0.047229,0.011917,1.487452,20.568182,0.002497,true,true
1208,370,153,0.041377,0.011911,2.002532,28.007745,0.003400,true,true
1207,378,178,0.041845,0.011899,2.365306,33.181932,0.004028,true,true
1212,459,121,0.051239,0.011843,1.571058,21.704917,0.002635,true,true
1214,477,66,0.054470,0.011828,0.862477,11.539348,0.001401,true,true
1215,195,108,0.027396,0.011829,1.440237,20.177130,0.002449,true,true
1213,265,168,0.036275,0.011828,2.228582,31.308888,0.003801,true,true
1216,132,121,0.022477,0.011843,1.590655,22.395534,0.002719,true,true
1217,284,134,0.037052,0.011853,1.773724,24.801858,0.003011,true,true
1218,320,153,0.042790,0.011875,2.024889,28.306842,0.003436,true,true
1220,394,165,0.048718,0.011888,2.137255,29.826922,0.003621,true,true
1219,239,183,0.034197,0.011888,2.416712,34.025290,0.004130,true,true
1221,131,159,0.017794,0.011895,2.059381,29.156415,0.003539,true,true
1222,432,136,0.052690,0.011901,1.777961,24.639022,0.002991,true,true
1224,269,147,0.035486,0.011891,1.839840,25.768438,0.003128,true,true
1223,183,187,0.027595,0.011874,2.377282,33.556462,0.004073,true,true
1226,392,125,0.046821,0.011841,1.558936,21.594891,0.002621,true,true
1225,261,140,0.039595,0.011841,1.769288,24.702185,0.002999,true,true
1228,476,99,0.057804,0.011815,1.261945,17.196642,0.002087,true,true
1227,435,167,0.054368,0.011812,2.108890,29.341143,0.003562,true,true
1229,463,191,0.054850,0.011782,2.293478,31.970406,0.003881,true,true
1231,505,73,0.053565,0.011817,0.995827,13.456672,0.001633,true,true
1232,420,112,0.047371,0.011855,1.457801,20.142698,0.002445,true,true
1230,260,171,0.028198,0.011825,2.225446,31.379449,0.003809,true,true
1233,493,120,0.051640,0.011852,1.507541,20.792077,0.002524,true,true
1234,454,185,0.050648,0.011833,2.337026,32.652344,0.003964,true,true
1237,369,96,0.043101,0.011859,1.219193,16.796064,0.002039,true,true
1236,215,110,0.025381,0.011854,1.404930,19.701674,0.002392,true,true
1235,471,155,0.048458,0.011839,1.983269,27.631515,0.003354,true,true
1238,499,110,0.057442,0.011807,1.344405,18.379435,0.002231,true,true
1239,299,86,0.031677,0.011789,1.121677,15.566552,0.001890,true,true
1240,242,142,0.038170,0.011806,1.801910,25.188423,0.003058,true,true
1241,297,159,0.032111,0.011814,1.966392,27.623945,0.003353,true,true
1243,368,77,0.046792,0.011822,0.945277,12.831494,0.001558,true,true
1242,278,182,0.040569,0.011809,2.258815,31.679326,0.003846,true,true
1244,426,82,0.052361,0.011813,1.117203,15.207287,0.001846,true,true
1247,339,77,0.036573,0.011825,0.935268,12.834489,0.001558,true,true
1246,476,161,0.047936,0.011815,1.996914,27.833839,0.003379,true,true
1245,227,192,0.028962,0.011807,2.390106,33.720085,0.004093,true,true
1248,205,99,0.029462,0.011778,1.183706,16.484045,0.002001,true,true
1249,303,168,0.032034,0.011733,1.991484,27.983388,0.003397,true,true
1250,362,100,0.037298,0.011789,1.292133,17.920608,0.002175,true,true
1251,494,110,0.060519,0.011799,1.409704,19.268040,0.002339,true,true
1252,377,149,0.039697,0.011804,1.872337,26.172383,0.003177,true,true
1253,218,144,0.026515,0.011811,1.895881,26.696875,0.003241,true,true
1255,214,104,0.028567,0.011836,1.387430,19.406260,0.002356,true,true
1256,173,97,0.031435,0.011852,1.288479,17.952162,0.002179,true,true
1254,130,179,0.022870,0.011843,2.311827,32.689166,0.003968,true,true
1259,401,115,0.076046,0.011872,1.503730,20.389105,0.002475,true,true
1257,452,173,0.049533,0.011882,2.331422,32.588228,0.003956,true,true
1258,372,162,0.078346,0.011888,2.156517,29.678880,0.003603,true,true
1260,135,146,0.019186,0.011887,1.890036,26.718074,0.003243,true,true
1261,399,112,0.040851,0.011894,1.467754,20.377948,0.002474,true,true
1265,213,80,0.033492,0.011870,1.001205,13.820156,0.001678,true,true
1262,130,127,0.048350,0.011888,1.666270,23.105918,0.002805,true,true
1263,304,143,0.035554,0.011877,1.850137,25.914518,0.003146,true,true
1264,324,192,0.036152,0.011874,2.484738,34.968875,0.004245,true,true
1266,280,138,0.038177,0.011873,1.908255,26.707040,0.003242,true,true
1268,479,98,0.057804,0.011898,1.413015,19.354106,0.002349,true,true
1267,394,150,0.045958,0.011897,2.067459,28.869566,0.003504,true,true
1273,492,73,0.054742,0.011938,0.959908,12.926891,0.001569,true,true
1271,242,97,0.041727,0.011932,1.343987,18.597905,0.002258,true,true
1269,378,155,0.040867,0.011912,2.082656,29.159305,0.003540,true,true
1272,139,107,0.023933,0.011920,1.426848,20.035379,0.002432,true,true
1274,455,129,0.056742,0.011888,1.641788,22.636435,0.002748,true,true
1275,447,76,0.055837,0.011851,0.963197,12.958225,0.001573,true,true
1270,212,167,0.024735,0.011891,2.217810,31.319857,0.003802,true,true
1276,152,91,0.027266,0.011785,1.105219,15.394523,0.001869,true,true
1277,138,76,0.023426,0.011750,0.981489,13.682332,0.001661,true,true
1279,408,128,0.050949,0.011834,1.697709,23.517796,0.002855,true,true
1281,450,66,0.052834,0.011889,0.900921,12.111747,0.001470,true,true
1280,206,116,0.023760,0.011849,1.506873,21.180709,0.002571,true,true
1278,341,177,0.037168,0.011829,2.325517,32.680492,0.003967,true,true
1282,466,89,0.050672,0.011872,1.192026,16.299974,0.001979,true,true
1283,266,99,0.035932,0.011819,1.262108,17.511331,0.002126,true,true
1284,181,94,0.023181,0.011802,1.167501,16.342316,0.001984,true,true
1286,230,131,0.029690,0.011791,1.657055,23.240807,0.002821,true,true
1285,182,191,0.032156,0.011804,2.450435,34.536056,0.004192,true,true
1287,231,155,0.025812,0.011824,1.970949,27.778999,0.003372,true,true
1288,279,105,0.036917,0.011845,1.363249,18.941683,0.002299,true,true
1289,382,117,0.055900,0.011841,1.484820,20.406772,0.002477,true,true
1291,134,86,0.021955,0.011827,1.027228,14.356552,0.001743,true,true
1290,374,148,0.043747,0.011815,1.860577,25.946592,0.003150,true,true
1293,174,83,0.022461,0.011790,1.010223,14.106484,0.001712,true,true
1294,179,129,0.025619,0.011810,1.611365,22.646433,0.002749,true,true
1292,421,190,0.047373,0.011805,2.394134,33.514687,0.004068,true,true
1296,153,89,0.024057,0.011824,1.130054,15.795015,0.001917,true,true
1295,361,139,0.040757,0.011820,1.777785,24.806941,0.003011,true,true
1299,187,88,0.024624,0.011802,1.069881,14.927580,0.001812,true,true
1297,148,138,0.019251,0.011805,1.724049,24.346649,0.002955,true,true
1298,474,144,0.056127,0.011798,1.783354,24.666957,0.002994,true,true
1300,151,66,0.022533,0.011769,0.787550,10.925402,0.001326,true,true
1301,467,107,0.046667,0.011780,1.352350,18.646792,0.002264,true,true
1302,352,132,0.036505,0.011778,1.600029,22.329073,0.002711,true,true
1303,175,159,0.028381,0.011766,1.949395,27.434476,0.003330,true,true
1304,221,93,0.032232,0.011777,1.152884,16.004317,0.001943,true,true
1305,361,133,0.048317,0.011786,1.652006,22.902678,0.002780,true,true
1308,484,79,0.049300,0.011839,0.972780,13.188448,0.001601,true,true
1307,460,106,0.049321,0.011832,1.339844,18.430280,0.002237,true,true
1306,481,186,0.053446,0.011810,2.332567,32.548704,0.003951,true,true
1309,209,90,0.023647,0.011758,1.160813,16.240139,0.001971,true,true
1310,430,187,0.044265,0.011837,2.413260,33.832200,0.004107,true,true
1313,478,97,0.051327,0.011901,1.232439,16.867757,0.002048,true,true
1314,377,92,0.044959,0.011898,1.252870,17.250486,0.002094,true,true
1312,322,155,0.038729,0.011877,2.079211,29.140642,0.003537,true,true
1311,475,176,0.057773,0.011875,2.381148,33.180705,0.004028,true,true
1315,353,75,0.047458,0.011846,1.012748,13.785556,0.001673,true,true
1317,475,121,0.097248,0.011830,1.516792,20.272868,0.002461,true,true
1316,463,144,0.103448,0.011818,1.793435,24.135134,0.002930,true,true
1319,480,88,0.057625,0.011882,1.253025,17.071806,0.002072,true,true
1318,470,150,0.046934,0.011865,2.024297,28.239214,0.003428,true,true
1322,413,77,0.046891,0.011932,1.001209,13.628853,0.001654,true,true
1320,500,127,0.059634,0.011900,1.694992,23.354966,0.002835,true,true
1324,212,83,0.028612,0.011836,1.059284,14.719281,0.001787,true,true
1321,467,162,0.049777,0.011882,2.112232,29.454433,0.003575,true,true
1323,208,184,0.064550,0.011872,2.362592,32.818917,0.003984,true,true
1326,270,76,0.031812,0.011829,1.069376,14.817716,0.001799,true,true
1325,292,125,0.037844,0.011859,1.762179,24.625666,0.002989,true,true
1328,248,84,0.032547,0.011901,1.192808,16.569971,0.002011,true,true
1331,382,68,0.048491,0.011935,0.899811,12.157912,0.001476,true,true
1332,339,73,0.041453,0.011932,0.916958,12.503298,0.001518,true,true
1327,409,160,0.050799,0.011887,2.185069,30.480037,0.003700,true,true
1333,128,87,0.020926,0.011892,1.088276,15.243094,0.001850,true,true
1329,421,178,0.051664,0.011889,2.330486,32.544423,0.003951,true,true
1330,383,178,0.044736,0.011889,2.284386,31.984996,0.003883,true,true
1334,444,141,0.054333,0.011817,1.787933,24.757984,0.003005,true,true
1335,415,116,0.044946,0.011796,1.457518,20.173288,0.002449,true,true
1337,155,121,0.027838,0.011791,1.474202,20.655885,0.002507,true,true
1336,361,151,0.045766,0.011795,1.972373,27.514360,0.003340,true,true
1342,319,91,0.033517,0.014662,1.565214,21.874554,0.002655,true,true
1340,465,120,0.078053,0.014018,1.991781,27.330424,0.003318,true,true
1338,297,185,0.037028,0.013314,2.839421,40.021678,0.004858,true,true
1348,340,75,0.047279,0.015101,1.164764,15.959074,0.001937,true,true
1341,309,138,0.076953,0.013844,2.219201,30.593985,0.003714,true,true
1345,440,114,0.054765,0.014274,1.762456,24.387962,0.002960,true,true
1346,329,119,0.045119,0.014173,1.825029,25.419340,0.003086,true,true
1339,314,179,0.040975,0.013400,2.792967,39.301890,0.004771,true,true
1344,495,168,0.055069,0.013506,2.496643,34.868737,0.004233,true,true
1347,225,150,0.025794,0.013539,2.162474,30.514460,0.003704,true,true
1343,212,190,0.034032,0.013311,2.822087,39.816907,0.004833,true,true
1349,472,95,0.049167,0.011855,1.200493,16.442367,0.001996,true,true
1351,386,98,0.045424,0.011778,1.187887,16.315801,0.001981,true,true
1350,358,181,0.047919,0.011775,2.206797,30.831487,0.003743,true,true
1352,130,76,0.026196,0.011738,0.942691,13.088685,0.001589,true,true
1353,349,187,0.046173,0.011761,2.324137,32.532181,0.003949,true,true
1354,218,108,0.024810,0.011786,1.385801,19.436645,0.002359,true,true
1355,193,90,0.026845,0.011803,1.155013,16.111649,0.001956,true,true
1356,435,146,0.049761,0.011795,1.793885,24.908270,0.003024,true,true
1357,324,171,0.039897,0.011781,2.090611,29.286765,0.003555,true,true
1358,482,127,0.052564,0.011823,1.645091,22.743277,0.002761,true,true
1360,196,99,0.022623,0.011838,1.272487,17.849617,0.002167,true,true
1359,303,139,0.042645,0.011827,1.787047,24.912230,0.003024,true,true
1361,486,140,0.052696,0.011837,1.826013,25.325180,0.003074,true,true
1362,408,144,0.044814,0.011841,1.871747,26.090887,0.003167,true,true
1363,411,119,0.043115,0.011854,1.533829,21.289261,0.002584,true,true
1364,447,138,0.046927,0.011845,1.716807,23.847978,0.002895,true,true
1365,472,97,0.058403,0.011844,1.195392,16.237626,0.001971,true,true
1366,460,109,0.046042,0.011793,1.400310,19.340635,0.002348,true,true
1367,483,146,0.049067,0.011823,1.883556,26.198794,0.003180,true,true
1368,308,186,0.039930,0.011839,2.353530,33.041097,0.004011,true,true
1369,469,170,0.051743,0.011845,2.245214,31.325514,0.003803,true,true
1370,401,137,0.052240,0.011853,1.815202,25.177300,0.003056,true,true
1371,344,67,0.044561,0.011870,0.943199,12.833678,0.001558,true,true
1373,471,78,0.052353,0.011841,1.014791,13.744821,0.001668,true,true
1374,512,105,0.051026,0.011819,1.280186,17.553948,0.002131,true,true
1372,140,161,0.024553,0.011797,2.009722,28.350686,0.003441,true,true
1377,405,72,0.043939,0.011844,0.969067,13.211973,0.001604,true,true
1378,359,90,0.047702,0.011856,1.150080,15.743327,0.001911,true,true
1375,477,128,0.047559,0.011842,1.786291,24.831268,0.003014,true,true
1376,159,139,0.022791,0.011846,1.873137,26.425258,0.003208,true,true
1379,473,121,0.054225,0.011860,1.586196,21.878469,0.002656,true,true
1381,484,137,0.054564,0.011853,1.732718,23.966141,0.002909,true,true
1380,415,163,0.047038,0.011850,2.081202,29.050412,0.003526,true,true
1382,152,161,0.027792,0.011828,1.986685,27.975436,0.003396,true,true
1383,478,144,0.055424,0.011824,1.765135,24.416821,0.002964,true,true
1384,155,67,0.029679,0.011729,0.829397,11.420978,0.001386,true,true
1385,231,177,0.031325,0.011769,2.189326,30.818959,0.003741,true,true
1386,452,158,0.047159,0.011809,2.039608,28.454666,0.003454,true,true
1387,407,114,0.044390,0.011831,1.514391,20.993445,0.002548,true,true
1389,477,83,0.051754,0.011856,1.106468,15.062638,0.001828,true,true
1390,216,94,0.031859,0.011851,1.220325,16.972790,0.002060,true,true
1388,227,139,0.030132,0.011849,1.903333,26.751651,0.003247,true,true
1393,258,65,0.031720,0.011864,0.870943,11.985163,0.001455,true,true
1391,347,135,0.044770,0.011855,1.763557,24.546431,0.002980,true,true
1392,194,105,0.027553,0.011858,1.368770,19.154251,0.002325,true,true
1395,293,77,0.068199,0.011856,1.014212,13.510243,0.001640,true,true
1394,491,103,0.057457,0.011857,1.434288,19.662860,0.002387,true,true
