prefill_e2e_time,decode_time_execution_plus_preemption_normalized
0.0530510634754065,0.0120587588839598
0.0769986899712171,0.0114913681566617
0.0906259010944063,0.0118392609599787
0.0953055134790052,0.0117279180263187
0.0609288183734095,0.0116172654335946
0.1221120214387228,0.011663048106086
0.1065442252742796,0.0117712716119519
0.0733643848491478,0.0113804250123334
0.0833652684474079,0.0112671127019813
0.1387380915189764,0.01135472662996
0.0932402169054924,0.0115958973012491
0.1083052578480554,0.0116203021242383
0.0827552291707025,0.0118004588273182
0.1140850120865888,0.0116089388532939
0.0703397293800307,0.0112916688948936
0.1089391672044737,0.0115628602047182
0.0690329049552467,0.0120328867391908
0.1129788132095264,0.011985002686154
0.08222263921642,0.0117649853039163
0.0648160895726839,0.0117695621863635
0.0909899183739391,0.0114917075245375
0.1078832830956173,0.0120527512905445
0.0645787594503239,0.0118050431584547
0.1075855997438992,0.0124694226200282
0.0806488808586181,0.0121711252791632
0.1426435928263068,0.0122029475790028
0.1269662438514487,0.0126103775307494
0.0991838738518495,0.0127317337649927
0.129075208251848,0.0121632328001399
0.0758439163368294,0.0118550958292108
0.0654391168448782,0.0124328482457591
0.0801472626430417,0.0116901797151864
0.1195484853751729,0.0115057795512649
0.1293771527310525,0.0112224184888175
0.0627694186023966,0.0119726722528021
0.1015184498988936,0.0117452890122526
0.123342298036075,0.0113989785576802
0.0996216192779115,0.0121847258305693
0.0731547632264906,0.0124925238824295
0.0847461568878102,0.0128541177677695
0.0728210812684864,0.0135185238867091
0.1340799656827087,0.0128096666514416
0.143769426874357,0.011509431423396
0.0866442589936156,0.0116417657586723
0.1372237174761537,0.011097332966019
0.0704480031299539,0.0114917575574998
0.0742185071359173,0.0114095338731318
0.1203950263746165,0.0114664170811089
0.093690924967241,0.012655807735208
0.1225113957151435,0.0125179528999814
0.1320003009334627,0.0134308601402836
0.0889295869886481,0.0132954757802687
0.1580541172669285,0.012464805414649
0.1957536267794069,0.0123064879260745
0.1812472696252172,0.0128879479031122
0.1968343770232508,0.012515634137345
0.0842077449719624,0.0121095785505858
0.1348925893432095,0.0126967001055479
0.1393353555819985,0.0131294501839619
0.1653802862022786,0.0123644428077815
0.1344677968495489,0.0126412494963499
0.0689876984663229,0.0126418487563168
0.1176295079988349,0.0122540262248618
0.0825808042790612,0.0115270498594345
0.0833962150393148,0.0114947900773147
0.0705148760681595,0.0111939853890449
0.0697167640359879,0.0110734797720608
0.0644479807935809,0.0108381676179534
0.0826619542364639,0.0115694678595021
0.1284662469067328,0.011354945248029
0.0655058996974631,0.0112491204968361
0.1224576164510296,0.0117897724119469
0.1295875282583409,0.0130909333559881
0.1328516585746015,0.0132866339294774
0.0847048940625398,0.0129565932398572
0.0944100004228616,0.0122677579076741
0.1768678555380631,0.0123147944796472
0.1717791922505398,0.0120737292528718
0.1497154038340511,0.0118520334902529
0.1000830638034599,0.0119140363755106
0.1224719111079295,0.0117601734268462
0.086471123839722,0.0119858124548203
0.1162529445715208,0.0116964734677868
0.1072759297777423,0.0115955850749945
0.0710126466012468,0.0118039983078738
0.0716011249162562,0.0113756947517111
0.1070294541223404,0.0108933731687281
0.0697316163929429,0.0115900725668784
0.0741446698401517,0.0112555800873872
0.1049951074415815,0.0113488857258176
0.1056035362740885,0.0108218362669827
0.0706338032699562,0.0128572857920965
0.0667668912828105,0.0130651950633574
0.088159863650219,0.0123331815172517
0.105429959483601,0.0120167023163691
0.0647763211819096,0.0125967908415833
0.1309434644962408,0.0123583609187169
0.1587472975277819,0.0117244694425332
0.1398117119782824,0.0113960939530121
0.0764887996388239,0.0112206956784673
0.0747479969530502,0.011596515416412
0.0806142516372858,0.0116781051040529
0.1110544997180795,0.0115440564715673
0.0667109763679434,0.0116335064495043
0.0980565066796828,0.0114796922271455
0.1226437544424925,0.0112898319470052
0.0851137642978017,0.0107766660725096
0.0832760805106573,0.0124992336347328
0.1604832435474463,0.0123137991589537
0.0934961339301025,0.0128623140221486
0.0699988289170647,0.0124625106802027
0.1295390307358417,0.0127152702709782
0.1286700453870395,0.0127366422090795
0.0912595719908466,0.0120529708043412
0.1454077425736386,0.012273245477679
0.0737525707428261,0.0123428135219504
0.1199775018296236,0.0119170562034531
