id,input_len,output_len,ttft_sec,tpot_sec,e2e_sec,energy_j,carbon_g,ttft_ok,tpot_ok
743,2636,658,0.242006,0.012429,8.829068,122.633974,0.014886,true,true
744,3026,484,0.286968,0.012391,6.417789,87.555792,0.010628,true,true
745,1582,561,0.156457,0.012181,8.142621,114.052406,0.013845,true,true
746,3008,690,0.274883,0.012585,10.142430,140.920898,0.017106,true,true
747,2006,509,0.195452,0.012759,7.689887,107.029897,0.012992,true,true
749,3020,371,0.274701,0.012963,5.638833,76.606510,0.009299,true,true
748,1853,538,0.182428,0.012882,8.357338,116.747931,0.014172,true,true
752,1742,290,0.160710,0.012853,4.290143,58.973473,0.007159,true,true
750,2888,685,0.428175,0.012868,10.191023,139.425672,0.016925,true,true
753,2912,305,0.272974,0.012770,4.545916,61.022960,0.007408,true,true
751,1568,502,0.153308,0.012830,7.397161,103.451277,0.012558,true,true
755,2641,478,0.251449,0.012321,6.281039,86.110084,0.010453,true,true
754,1626,667,0.151542,0.012393,8.798530,123.489789,0.014990,true,true
756,1651,399,0.161939,0.012121,5.181155,71.680676,0.008701,true,true
757,2128,495,0.204555,0.011999,6.407592,88.587123,0.010753,true,true
758,3034,582,0.280740,0.012322,8.065268,111.172790,0.013495,true,true
761,2099,318,0.201262,0.012618,4.451186,60.694224,0.007368,true,true
760,1829,482,0.173654,0.012552,6.653639,92.542289,0.011234,true,true
759,2913,584,0.269776,0.012500,8.167994,112.796435,0.013692,true,true
762,2747,435,0.262135,0.012397,6.067397,82.906401,0.010064,true,true
764,2241,646,0.265213,0.012386,9.074849,125.812613,0.015272,true,true
763,2410,763,0.220366,0.012450,10.733037,150.134090,0.018225,true,true
765,2188,682,0.207883,0.012622,9.423863,131.615718,0.015977,true,true
766,2150,641,0.202614,0.012659,8.896430,124.158556,0.015071,true,true
768,1997,563,0.189051,0.012640,7.461059,103.853357,0.012607,true,true
767,2637,740,0.244301,0.012574,9.887682,137.719532,0.016718,true,true
769,1831,730,0.174078,0.012012,9.175347,128.549380,0.015604,true,true
770,2687,678,0.250945,0.011966,8.351780,115.690043,0.014043,true,true
771,2677,393,0.243848,0.012151,5.352227,72.954038,0.008856,true,true
772,2058,464,0.190638,0.012174,5.983471,82.728892,0.010042,true,true
773,1697,716,0.163375,0.012148,9.218986,129.325442,0.015699,true,true
775,2308,296,0.220942,0.012208,3.822326,51.432271,0.006243,true,true
774,1725,451,0.162315,0.012097,5.817012,80.756141,0.009803,true,true
776,1921,478,0.176396,0.012010,6.108151,84.712884,0.010283,true,true
777,2217,566,0.210332,0.012013,6.997636,96.931186,0.011766,true,true
778,1567,472,0.144811,0.011844,5.723185,79.666147,0.009671,true,true
779,3054,376,0.277485,0.011984,5.000935,67.456772,0.008189,true,true
780,2516,504,0.237833,0.012076,6.768339,93.263783,0.011321,true,true
781,2977,465,0.281706,0.012220,6.137382,83.626372,0.010151,true,true
782,2026,585,0.188281,0.012165,7.504271,104.481487,0.012683,true,true
783,2315,733,0.221210,0.012413,10.025043,140.010987,0.016996,true,true
784,2271,571,0.213147,0.012517,7.857744,109.174392,0.013253,true,true
785,2586,765,0.238419,0.012579,10.541196,147.136544,0.017861,true,true
786,3015,736,0.275829,0.012646,10.592448,147.334210,0.017885,true,true
788,2383,302,0.221079,0.012714,4.651505,63.272018,0.007681,true,true
787,2191,464,0.201075,0.012655,7.127435,98.917067,0.012007,true,true
789,1989,405,0.188616,0.012786,6.514233,90.337724,0.010966,true,true
792,2702,507,0.250438,0.013036,8.130039,112.530552,0.013660,true,true
791,1937,593,0.187800,0.013036,9.434472,132.054036,0.016030,true,true
790,2669,683,0.377250,0.013034,10.973886,151.333213,0.018370,true,true
797,2646,316,0.253055,0.013400,4.629770,62.504970,0.007587,true,true
793,2876,601,0.274181,0.013236,9.393562,130.236170,0.015809,true,true
798,1688,305,0.161117,0.013002,4.113847,56.449933,0.006852,true,true
795,3036,616,0.285432,0.013144,9.256430,128.117065,0.015552,true,true
794,2536,758,0.233804,0.013118,11.328052,158.439730,0.019233,true,true
796,3011,756,0.284816,0.012941,10.669552,148.307008,0.018003,true,true
799,2380,396,0.219303,0.012140,5.014684,68.484037,0.008313,true,true
800,2009,325,0.184247,0.011883,4.034284,54.983328,0.006674,true,true
801,1554,479,0.143651,0.012003,6.354962,88.705284,0.010768,true,true
802,2300,317,0.219746,0.012112,4.310857,58.426184,0.007092,true,true
804,1568,262,0.149452,0.012248,3.837234,52.666133,0.006393,true,true
805,2378,268,0.222447,0.012603,4.055954,54.747281,0.006646,true,true
803,2901,750,0.268200,0.012271,10.290024,143.124175,0.017374,true,true
807,2123,273,0.196836,0.012488,3.862991,52.357282,0.006356,true,true
806,3015,537,0.440252,0.012468,7.587148,102.066613,0.012390,true,true
808,2965,696,0.279066,0.012166,8.908928,123.245221,0.014961,true,true
809,1903,365,0.177944,0.012099,4.581822,62.892879,0.007634,true,true
810,2609,408,0.237781,0.012151,5.438328,74.270314,0.009016,true,true
811,2805,514,0.266339,0.012174,6.918500,95.001179,0.011532,true,true
815,1701,288,0.163229,0.012825,4.207412,57.755989,0.007011,true,true
812,2083,662,0.196149,0.012574,9.513281,133.060282,0.016152,true,true
814,2963,487,0.278049,0.012752,6.995967,95.940268,0.011646,true,true
813,2367,726,0.223155,0.012575,10.129540,141.475564,0.017174,true,true
817,1650,265,0.158419,0.012735,3.520404,48.013343,0.005828,true,true
816,2312,642,0.223089,0.012554,8.579354,119.337912,0.014486,true,true
818,1705,767,0.158328,0.012019,9.783901,137.465215,0.016687,true,true
820,1731,299,0.164101,0.012478,4.306509,59.158773,0.007181,true,true
819,2856,595,0.270509,0.012359,8.195302,113.175949,0.013738,true,true
822,1688,543,0.158929,0.012341,6.847795,95.525376,0.011596,true,true
821,2953,742,0.276463,0.012318,10.004516,138.928759,0.016864,true,true
823,2690,289,0.245644,0.012195,3.957305,53.007157,0.006434,true,true
824,2180,272,0.203105,0.012170,3.501055,47.098847,0.005717,true,true
825,2738,403,0.249290,0.011971,5.334028,72.616415,0.008815,true,true
826,2995,663,0.278838,0.011986,8.213409,113.315592,0.013755,true,true
827,2148,422,0.196649,0.012019,5.502087,75.768283,0.009197,true,true
828,2696,654,0.256815,0.012262,8.782097,121.751690,0.014779,true,true
830,3050,399,0.278795,0.012402,5.214843,70.492936,0.008557,true,true
829,2643,595,0.249426,0.012341,8.125321,112.477625,0.013654,true,true
831,2947,336,0.272681,0.012269,5.026766,67.894270,0.008242,true,true
832,2244,310,0.208089,0.012400,4.478186,60.982325,0.007403,true,true
833,2011,333,0.196033,0.012384,4.561614,62.345953,0.007568,true,true
834,2793,662,0.260628,0.012123,8.273716,114.436913,0.013891,true,true
835,2204,286,0.201646,0.011916,3.822147,51.705277,0.006276,true,true
837,2668,640,0.243966,0.012665,9.300354,129.336549,0.015700,true,true
839,2802,558,0.260913,0.012823,7.845932,108.323550,0.013149,true,true
836,2458,758,0.227773,0.012645,11.006954,153.940175,0.018687,true,true
838,2928,645,0.267186,0.012779,9.194296,127.490288,0.015476,true,true
840,2996,331,0.276016,0.012742,4.908862,66.162834,0.008031,true,true
841,1851,645,0.173957,0.012451,8.450329,118.196938,0.014348,true,true
842,2834,413,0.266566,0.012175,5.625480,76.531995,0.009290,true,true
845,2088,360,0.198754,0.012637,5.313294,73.042018,0.008866,true,true
844,1546,571,0.148338,0.012535,8.313621,116.610439,0.014155,true,true
843,2184,625,0.210528,0.012546,9.202283,128.413495,0.015588,true,true
846,1919,697,0.182811,0.012671,9.654934,135.273766,0.016421,true,true
848,1719,618,0.162869,0.012704,8.252607,115.531570,0.014024,true,true
847,2672,673,0.253537,0.012675,9.180624,127.489957,0.015476,true,true
849,2758,588,0.252091,0.012493,7.729956,106.793264,0.012964,true,true
850,1561,554,0.152424,0.012183,7.772102,108.818527,0.013209,true,true
851,1709,504,0.162832,0.012326,7.243878,101.126180,0.012276,true,true
854,1834,320,0.178927,0.012762,4.785605,65.789131,0.007986,true,true
853,2086,564,0.196268,0.012761,8.460062,118.017308,0.014326,true,true
852,1883,645,0.184682,0.012741,9.660320,135.323948,0.016427,true,true
859,2159,262,0.200288,0.012867,3.558702,47.962352,0.005822,true,true
855,2101,687,0.202058,0.012792,9.696026,135.585725,0.016459,true,true
856,1693,625,0.163972,0.012787,8.705654,121.985889,0.014808,true,true
857,2041,763,0.190108,0.012615,10.178185,142.642226,0.017315,true,true
858,1936,724,0.186284,0.012395,9.345139,130.799904,0.015878,true,true
860,2216,645,0.202716,0.012034,8.668102,120.896291,0.014675,true,true
862,2869,395,0.263147,0.012524,5.624301,76.563982,0.009294,true,true
863,2771,461,0.254514,0.012505,6.181127,84.639444,0.010274,true,true
861,2210,706,0.207977,0.012406,9.641862,134.727675,0.016354,true,true
864,1899,663,0.177201,0.012217,8.264615,115.498385,0.014020,true,true
865,2132,758,0.195222,0.011894,9.198989,128.585051,0.015609,true,true
866,2032,589,0.186300,0.012358,8.153557,113.782399,0.013812,true,true
868,2690,460,0.254033,0.012489,6.228182,85.318320,0.010357,true,true
867,2340,629,0.218407,0.012451,8.766582,122.078623,0.014819,true,true
869,2653,440,0.245078,0.012493,5.971945,81.786824,0.009928,true,true
870,2662,283,0.250378,0.012183,3.686074,49.066037,0.005956,true,true
872,2132,326,0.203335,0.012125,4.143863,56.275654,0.006831,true,true
871,2481,470,0.226360,0.012063,6.079328,83.587694,0.010147,true,true
874,2156,503,0.200448,0.012271,6.686404,92.627551,0.011244,true,true
873,2373,767,0.216724,0.012273,10.141230,141.734348,0.017205,true,true
875,1851,689,0.174538,0.012299,8.791839,123.065836,0.014939,true,true
876,1687,715,0.164467,0.012055,8.771445,122.918397,0.014921,true,true
877,2517,666,0.229572,0.012399,9.652214,134.567099,0.016335,true,true
879,2272,343,0.211770,0.012881,5.318187,72.926021,0.008852,true,true
881,2790,301,0.263533,0.012929,4.402176,59.105007,0.007175,true,true
878,2952,684,0.276049,0.012605,9.794490,135.935242,0.016501,true,true
880,2044,619,0.199590,0.012641,8.525818,118.908946,0.014434,true,true
882,2857,665,0.260267,0.012307,8.432101,116.704001,0.014167,true,true
884,1737,520,0.167823,0.012455,7.123952,99.342226,0.012059,true,true
885,3065,482,0.284667,0.012503,6.512065,88.935029,0.010796,true,true
883,2215,696,0.202627,0.012488,10.423453,145.966168,0.017719,true,true
886,2337,730,0.220539,0.012738,10.600939,148.245092,0.017995,true,true
889,2387,343,0.227571,0.013003,5.154626,70.364495,0.008541,true,true
890,3031,401,0.283585,0.012948,5.667620,76.890757,0.009334,true,true
887,2741,768,0.251098,0.012806,11.314628,158.001039,0.019180,true,true
888,1586,750,0.151319,0.012816,10.845478,152.725948,0.018539,true,true
891,2238,722,0.215618,0.012745,9.801792,136.902553,0.016618,true,true
892,2603,750,0.244600,0.012633,10.618154,148.147331,0.017983,true,true
896,2238,367,0.286479,0.012750,5.125046,69.100779,0.008388,true,true
895,1627,373,0.157900,0.012746,5.276226,73.096095,0.008873,true,true
893,1735,704,0.164793,0.012637,9.799811,137.600111,0.016703,true,true
894,2462,582,0.227167,0.012594,8.533922,118.630841,0.014400,true,true
897,1872,505,0.184844,0.012616,7.760813,108.194310,0.013134,true,true
898,2666,419,0.250703,0.012731,6.547134,89.920905,0.010915,true,true
900,2365,444,0.220987,0.013038,7.208137,99.785232,0.012113,true,true
902,3046,458,0.283481,0.013239,7.246041,99.434057,0.012070,true,true
